X,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299
1,0,765,541,10299,10839,11380,1210,1083,1952,4464,9803,10880,11418,2706,3156,4122,4625,5135,6172,7222,7750,8280,8811,9344,11482,12018,3062,5830,6336,6847,7362,8927,9453,9981,11571,12103,4656,4228,3827,3466,3156,2915,2760,2706,2760,2915,3156,3466,6540,7037,7539,9592,10112,11685,12212,4990,4593,4228,3903,3631,3423,3292,3423,5855,6312,6782,7750,8245,9249,9758,10270,10785,11302,11822,5358,4990,4656,4364,4122,3941,3827,3941,5358,5754,6172,8472,8960,9453,9951,6932,6518,6124,5754,5413,4841,4625,4464,4364,4464,4841,5754,6124,8728,9202,12671,13181,7693,7282,6889,6518,6172,5331,5135,4990,4901,4990,5135,5331,5573,12866,13369,8047,7655,5830,5651,5520,5520,5651,15781,6172,6052,5979,16489,15993,6847,6695,6585,18195,17697,17202,16710,8262,7992,7539,7362,18906,18411,17920,13661,13214,12775,12343,11920,9981,9637,9313,9009,8728,8472,8245,8047,19129,13532,13103,12683,12272,11871,10744,10398,10068,9758,9469,9202,8745,8558,19365,13036,12636,12248,11871,11508,11159,10826,10510,10213,9937,9683,9249,19613,19137,17731,17270,15049,14625,13401,13013,12636,12272,11920,11584,11263,10960,10676,10412,10170,9951,19403,18937,18475,17565,17117,16675,16238,15809,15386,14971,13779,13401,13036,12683,12343,12018,11710,11418,11146,10893,10662,16569,16148,15734,15329,14932,14544,14167,13800,13445,13103,12775,12461,12164,11884,11622,11380,16498,16093,15697,15310,14932,14564,14208,13864,13532,13214,12912,12625,12355,12103,16858,16462,16075,15697,15329,14971,14625,14290,13969,13661,13369,13092,12832,12590,17228,16841,16462,16093,15734,15386,15049,14724,14413,14115,13832,13564,17228,16858,16498,15809,15481,15166,14863,14574,14300,14042,17623,17262,16910,15920,15319,15039
2,765,0,541,10826,11367,11908,541,765,2232,4901,10299,11380,11920,2915,3423,4464,4990,5520,6585,7655,8191,8728,9265,9803,11957,12496,3156,6172,6695,7222,7750,9344,9877,10412,12018,12555,3903,3466,3062,2706,2421,2232,2165,2232,2421,2706,3062,3466,6847,7362,7881,9981,10510,12103,12636,4228,3827,3466,3156,2915,2760,2915,3156,6052,6540,7037,8047,8558,9592,10112,10634,11159,11685,12212,4593,4228,3903,3631,3423,3292,3423,3631,5413,5855,6312,8745,9249,9758,10270,6172,5754,5358,4990,4656,4122,3941,3827,3789,4122,4656,5754,6172,8960,9453,13013,13532,6932,6518,6124,5754,5413,4625,4464,4364,4330,4625,4841,5106,5413,13181,13693,7282,6889,5135,4990,4901,5135,5331,15078,5520,5440,5413,15781,15281,6172,6052,5979,17489,16988,16489,15993,7520,7262,6847,6695,18195,17697,17202,12912,12461,12018,11584,11159,9218,8878,8558,8262,7992,7750,7539,7362,18411,12775,12343,11920,11508,11106,9981,9637,9313,9009,8728,8472,8047,7881,18641,12272,11871,11482,11106,10744,10398,10068,9758,9469,9202,8960,8558,18883,18404,16988,16525,14290,13864,12636,12248,11871,11508,11159,10826,10510,10213,9937,9683,9453,9249,18664,18195,17731,16815,16364,15920,15481,15049,14625,14208,13013,12636,12272,11920,11584,11263,10960,10676,10412,10170,9951,15809,15386,14971,14564,14167,13779,13401,13036,12683,12343,12018,11710,11418,11146,10893,10662,15734,15329,14932,14544,14167,13800,13445,13103,12775,12461,12164,11884,11622,11380,16093,15697,15310,14932,14564,14208,13864,13532,13214,12912,12625,12355,12103,11871,16462,16075,15697,15329,14971,14625,14290,13969,13661,13369,13092,12832,16462,16093,15734,15049,14724,14413,14115,13832,13564,13314,16858,16498,16148,15166,14574,14300
3,541,541,0,10284,10826,11367,765,541,1712,4364,9758,10839,11380,2421,2915,3941,4464,4990,6052,7119,7655,8191,8728,9265,11418,11957,2706,5651,6172,6695,7222,8811,9344,9877,11482,12018,4364,3903,3466,3062,2706,2421,2232,2165,2232,2421,2706,3062,6336,6847,7362,9453,9981,11571,12103,4656,4228,3827,3466,3156,2915,2760,2915,5573,6052,6540,7539,8047,9074,9592,10112,10634,11159,11685,4990,4593,4228,3903,3631,3423,3292,3423,4990,5413,5855,8245,8745,9249,9758,6607,6172,5754,5358,4990,4364,4122,3941,3827,3941,4364,5358,5754,8472,8960,12496,13013,7362,6932,6518,6124,5754,4841,4625,4464,4364,4464,4625,4841,5106,12671,13181,7693,7282,5331,5135,4990,4990,5135,15585,5651,5520,5440,16283,15781,6336,6172,6052,17993,17489,16988,16489,7806,7520,7037,6847,18696,18195,17697,13369,12912,12461,12018,11584,9576,9218,8878,8558,8262,7992,7750,7539,18906,13214,12775,12343,11920,11508,10341,9981,9637,9313,9009,8728,8245,8047,19129,12683,12272,11871,11482,11106,10744,10398,10068,9758,9469,9202,8745,19365,18883,17456,16988,14724,14290,13036,12636,12248,11871,11508,11159,10826,10510,10213,9937,9683,9453,19137,18664,18195,17270,16815,16364,15920,15481,15049,14625,13401,13013,12636,12272,11920,11584,11263,10960,10676,10412,10170,16238,15809,15386,14971,14564,14167,13779,13401,13036,12683,12343,12018,11710,11418,11146,10893,16148,15734,15329,14932,14544,14167,13800,13445,13103,12775,12461,12164,11884,11622,16498,16093,15697,15310,14932,14564,14208,13864,13532,13214,12912,12625,12355,12103,16858,16462,16075,15697,15329,14971,14625,14290,13969,13661,13369,13092,16841,16462,16093,15386,15049,14724,14413,14115,13832,13564,17228,16858,16498,15481,14863,14574
4,10299,10826,10284,0,541,1083,10839,10299,8677,5979,765,765,1210,8191,7655,6585,6052,5520,4464,3423,2915,2421,1952,1531,1531,1952,8280,5135,4625,4122,3631,2296,1952,1712,1952,2296,14239,13704,13170,12636,12103,11571,11040,10510,9981,9453,8927,8403,4841,4364,3903,2421,2232,2421,2706,14331,13800,13270,12740,12212,11685,10112,9592,6052,5573,5106,4228,3827,3156,2915,2760,2706,2760,2915,14443,13916,13391,12866,12343,11822,10270,9758,7262,6782,6312,4228,3903,3631,3423,16148,15622,15098,14574,14052,13013,12496,11982,11470,9951,8960,7520,7057,4656,4364,4122,4364,16806,16283,15762,15243,14724,13181,12671,12164,11660,10170,9683,9202,8728,4625,4841,16953,16436,13369,12866,12367,10412,9937,25480,13081,12590,12103,26128,25601,13800,13314,12832,27833,27306,26781,26256,15993,15500,14524,14042,28488,27964,27440,22766,22252,21739,21228,20718,18195,17697,17202,16710,16220,15734,15252,14774,28627,22429,21920,21413,20908,20404,18906,18411,17920,17431,16945,16462,15509,15039,28775,21611,21110,20611,20115,19621,19129,18641,18155,17673,17194,16718,15781,28932,28416,26874,26362,23822,23319,21820,21324,20830,20339,19851,19365,18883,18404,17928,17456,16988,16525,28586,28074,27563,26545,26038,25532,25028,24525,24025,23525,22040,21549,21061,20576,20093,19613,19137,18664,18195,17731,17270,25232,24734,24237,23742,23250,22760,22272,21786,21303,20823,20347,19873,19403,18937,18475,18017,24952,24460,23970,23482,22996,22514,22033,21556,21082,20611,20144,19681,19221,18766,25180,24692,24207,23724,23244,22766,22291,21820,21351,20887,20426,19969,19516,19068,25417,24934,24454,23976,23501,23028,22559,22093,21631,21172,20718,20267,25186,24710,24237,23300,22837,22377,21920,21468,21020,20576,25446,24975,24507,23123,22219,21773
5,10839,11367,10826,541,0,541,11380,10839,9218,6518,1210,541,765,8728,8191,7119,6585,6052,4990,3941,3423,2915,2421,1952,1210,1531,8811,5651,5135,4625,4122,2706,2296,1952,1712,1952,14774,14239,13704,13170,12636,12103,11571,11040,10510,9981,9453,8927,5331,4841,4364,2706,2421,2232,2421,14863,14331,13800,13270,12740,12212,10634,10112,6540,6052,5573,4656,4228,3466,3156,2915,2760,2706,2760,14971,14443,13916,13391,12866,12343,10785,10270,7750,7262,6782,4593,4228,3903,3631,16675,16148,15622,15098,14574,13532,13013,12496,11982,10454,9453,7992,7520,4990,4656,3941,4122,17329,16806,16283,15762,15243,13693,13181,12671,12164,10662,10170,9683,9202,4464,4625,17473,16953,13874,13369,12866,10893,10412,26010,13575,13081,12590,26655,26128,14290,13800,13314,28359,27833,27306,26781,16489,15993,15010,14524,29013,28488,27964,23281,22766,22252,21739,21228,18696,18195,17697,17202,16710,16220,15734,15252,29149,22939,22429,21920,21413,20908,19403,18906,18411,17920,17431,16945,15984,15509,29294,22113,21611,21110,20611,20115,19621,19129,18641,18155,17673,17194,16247,29449,28932,27387,26874,24328,23822,22318,21820,21324,20830,20339,19851,19365,18883,18404,17928,17456,16988,29099,28586,28074,27053,26545,26038,25532,25028,24525,24025,22533,22040,21549,21061,20576,20093,19613,19137,18664,18195,17731,25732,25232,24734,24237,23742,23250,22760,22272,21786,21303,20823,20347,19873,19403,18937,18475,25446,24952,24460,23970,23482,22996,22514,22033,21556,21082,20611,20144,19681,19221,25669,25180,24692,24207,23724,23244,22766,22291,21820,21351,20887,20426,19969,19516,25902,25417,24934,24454,23976,23501,23028,22559,22093,21631,21172,20718,25664,25186,24710,23767,23300,22837,22377,21920,21468,21020,25919,25446,24975,23581,22669,22219
6,11380,11908,11367,1083,541,0,11920,11380,9758,7057,1712,765,541,9265,8728,7655,7119,6585,5520,4464,3941,3423,2915,2421,1083,1210,9344,6172,5651,5135,4625,3156,2706,2296,1624,1712,15310,14774,14239,13704,13170,12636,12103,11571,11040,10510,9981,9453,5830,5331,4841,3062,2706,2165,2232,15396,14863,14331,13800,13270,12740,11159,10634,7037,6540,6052,5106,4656,3827,3466,3156,2915,2760,2706,15500,14971,14443,13916,13391,12866,11302,10785,8245,7750,7262,4990,4593,4228,3903,17202,16675,16148,15622,15098,14052,13532,13013,12496,10960,9951,8472,7992,5358,4990,3827,3941,17854,17329,16806,16283,15762,14208,13693,13181,12671,11159,10662,10170,9683,4364,4464,17993,17473,14382,13874,13369,11380,10893,26539,14073,13575,13081,27183,26655,14784,14290,13800,28886,28359,27833,27306,16988,16489,15500,15010,29538,29013,28488,23798,23281,22766,22252,21739,19198,18696,18195,17697,17202,16710,16220,15734,29672,23451,22939,22429,21920,21413,19903,19403,18906,18411,17920,17431,16462,15984,29815,22617,22113,21611,21110,20611,20115,19621,19129,18641,18155,17673,16718,29967,29449,27901,27387,24834,24328,22817,22318,21820,21324,20830,20339,19851,19365,18883,18404,17928,17456,29613,29099,28586,27563,27053,26545,26038,25532,25028,24525,23028,22533,22040,21549,21061,20576,20093,19613,19137,18664,18195,26234,25732,25232,24734,24237,23742,23250,22760,22272,21786,21303,20823,20347,19873,19403,18937,25942,25446,24952,24460,23970,23482,22996,22514,22033,21556,21082,20611,20144,19681,26161,25669,25180,24692,24207,23724,23244,22766,22291,21820,21351,20887,20426,19969,26390,25902,25417,24934,24454,23976,23501,23028,22559,22093,21631,21172,26144,25664,25186,24237,23767,23300,22837,22377,21920,21468,26395,25919,25446,24043,23123,22669
7,1210,541,765,10839,11380,11920,0,541,2165,4872,10284,11367,11908,2760,3292,4364,4901,5440,6518,7597,8137,8677,9218,9758,11920,12461,2915,6052,6585,7119,7655,9265,9803,10341,11957,12496,3631,3156,2706,2296,1952,1712,1624,1712,1952,2296,2706,3156,6695,7222,7750,9877,10412,12018,12555,3903,3466,3062,2706,2421,2232,2421,2706,5830,6336,6847,7881,8403,9453,9981,10510,11040,11571,12103,4228,3827,3466,3156,2915,2760,2915,3156,5106,5573,6052,8558,9074,9592,10112,5855,5413,4990,4593,4228,3631,3423,3292,3248,3631,4228,5413,5855,8745,9249,12866,13391,6607,6172,5754,5358,4990,4122,3941,3827,3789,4122,4364,4656,4990,13013,13532,6932,6518,4625,4464,4364,4625,4841,14893,4990,4901,4872,15585,15078,5651,5520,5440,17296,16788,16283,15781,7057,6782,6336,6172,17993,17489,16988,12625,12164,11710,11263,10826,8811,8455,8119,7806,7520,7262,7037,6847,18195,12461,12018,11584,11159,10744,9576,9218,8878,8558,8262,7992,7539,7362,18411,11920,11508,11106,10717,10341,9981,9637,9313,9009,8728,8472,8047,18641,18155,16718,16247,13969,13532,12272,11871,11482,11106,10744,10398,10068,9758,9469,9202,8960,8745,18404,17928,17456,16525,16066,15613,15166,14724,14290,13864,12636,12248,11871,11508,11159,10826,10510,10213,9937,9683,9453,15481,15049,14625,14208,13800,13401,13013,12636,12272,11920,11584,11263,10960,10676,10412,10170,15386,14971,14564,14167,13779,13401,13036,12683,12343,12018,11710,11418,11146,10893,15734,15329,14932,14544,14167,13800,13445,13103,12775,12461,12164,11884,11622,11380,16093,15697,15310,14932,14564,14208,13864,13532,13214,12912,12625,12355,16075,15697,15329,14625,14290,13969,13661,13369,13092,12832,16462,16093,15734,14724,14115,13832
8,1083,765,541,10299,10839,11380,541,0,1624,4330,9743,10826,11367,2232,2760,3827,4364,4901,5979,7057,7597,8137,8677,9218,11380,11920,2421,5520,6052,6585,7119,8728,9265,9803,11418,11957,4122,3631,3156,2706,2296,1952,1712,1624,1712,1952,2296,2706,6172,6695,7222,9344,9877,11482,12018,4364,3903,3466,3062,2706,2421,2232,2421,5331,5830,6336,7362,7881,8927,9453,9981,10510,11040,11571,4656,4228,3827,3466,3156,2915,2760,2915,4656,5106,5573,8047,8558,9074,9592,6312,5855,5413,4990,4593,3903,3631,3423,3292,3423,3903,4990,5413,8245,8745,12343,12866,7057,6607,6172,5754,5358,4364,4122,3941,3827,3941,4122,4364,4656,12496,13013,7362,6932,4841,4625,4464,4464,4625,15405,5135,4990,4901,16093,15585,5830,5651,5520,17805,17296,16788,16283,7362,7057,6540,6336,18499,17993,17489,13092,12625,12164,11710,11263,9186,8811,8455,8119,7806,7520,7262,7037,18696,12912,12461,12018,11584,11159,9951,9576,9218,8878,8558,8262,7750,7539,18906,12343,11920,11508,11106,10717,10341,9981,9637,9313,9009,8728,8245,19129,18641,17194,16718,14413,13969,12683,12272,11871,11482,11106,10744,10398,10068,9758,9469,9202,8960,18883,18404,17928,16988,16525,16066,15613,15166,14724,14290,13036,12636,12248,11871,11508,11159,10826,10510,10213,9937,9683,15920,15481,15049,14625,14208,13800,13401,13013,12636,12272,11920,11584,11263,10960,10676,10412,15809,15386,14971,14564,14167,13779,13401,13036,12683,12343,12018,11710,11418,11146,16148,15734,15329,14932,14544,14167,13800,13445,13103,12775,12461,12164,11884,11622,16498,16093,15697,15310,14932,14564,14208,13864,13532,13214,12912,12625,16462,16075,15697,14971,14625,14290,13969,13661,13369,13092,16841,16462,16093,15049,14413,14115
9,1952,2232,1712,8677,9218,9758,2165,1624,0,2706,8119,9202,9743,765,1210,2232,2760,3292,4364,5440,5979,6518,7057,7597,9758,10299,1210,3941,4464,4990,5520,7119,7655,8191,9803,10341,5651,5135,4625,4122,3631,3156,2706,2296,1952,1712,1624,1712,4625,5135,5651,7750,8280,9877,10412,5830,5331,4841,4364,3903,3466,2421,2232,3903,4364,4841,5830,6336,7362,7881,8403,8927,9453,9981,6052,5573,5106,4656,4228,3827,2915,2760,3466,3827,4228,6540,7037,7539,8047,7750,7262,6782,6312,5855,4990,4593,4228,3903,3292,3292,3903,4228,6782,7262,10785,11302,8472,7992,7520,7057,6607,5358,4990,4656,4364,3827,3789,3827,3941,10960,11470,8728,8262,5754,5413,5106,4364,4330,16953,5855,5573,5331,17631,17117,6607,6312,6052,19343,18828,18316,17805,8420,8047,7362,7057,20027,19516,19007,14524,14042,13564,13092,12625,10398,9981,9576,9186,8811,8455,8119,7806,20209,14300,13832,13369,12912,12461,11159,10744,10341,9951,9576,9218,8558,8262,20404,13661,13214,12775,12343,11920,11508,11106,10717,10341,9981,9637,9009,20611,20115,18641,18155,15781,15319,13969,13532,13103,12683,12272,11871,11482,11106,10744,10398,10068,9758,20339,19851,19365,18404,17928,17456,16988,16525,16066,15613,14290,13864,13445,13036,12636,12248,11871,11508,11159,10826,10510,17270,16815,16364,15920,15481,15049,14625,14208,13800,13401,13013,12636,12272,11920,11584,11263,17117,16675,16238,15809,15386,14971,14564,14167,13779,13401,13036,12683,12343,12018,17431,16997,16569,16148,15734,15329,14932,14544,14167,13800,13445,13103,12775,12461,17755,17329,16910,16498,16093,15697,15310,14932,14564,14208,13864,13532,17673,17262,16858,16075,15697,15329,14971,14625,14290,13969,18026,17623,17228,16093,15386,15049
10,4464,4901,4364,5979,6518,7057,4872,4330,2706,0,5413,6495,7037,2232,1712,765,541,765,1712,2760,3292,3827,4364,4901,7057,7597,2421,1531,1952,2421,2915,4464,4990,5520,7119,7655,8280,7750,7222,6695,6172,5651,5135,4625,4122,3631,3156,2706,2296,2706,3156,5135,5651,7222,7750,8403,7881,7362,6847,6336,5830,4364,3903,2232,2421,2706,3466,3903,4841,5331,5830,6336,6847,7362,8558,8047,7539,7037,6540,6052,4656,4228,2760,2706,2760,4228,4656,5106,5573,10270,9758,9249,8745,8245,7262,6782,6312,5855,4593,3903,3292,3248,4593,4990,8245,8745,10960,10454,9951,9453,8960,7520,7057,6607,6172,4990,4656,4364,4122,8472,8960,11159,10662,7806,7362,6932,5413,5106,19561,7693,7282,6889,20224,19703,8455,8047,7655,21934,21413,20894,20375,10510,10068,9218,8811,22605,22087,21570,16988,16489,15993,15500,15010,12625,12164,11710,11263,10826,10398,9981,9576,22766,16710,16220,15734,15252,14774,13369,12912,12461,12018,11584,11159,10341,9951,22939,15984,15509,15039,14574,14115,13661,13214,12775,12343,11920,11508,10717,23123,22617,21110,20611,18155,17673,16247,15781,15319,14863,14413,13969,13532,13103,12683,12272,11871,11482,22817,22318,21820,20830,20339,19851,19365,18883,18404,17928,16525,16066,15613,15166,14724,14290,13864,13445,13036,12636,12248,19613,19137,18664,18195,17731,17270,16815,16364,15920,15481,15049,14625,14208,13800,13401,13013,19403,18937,18475,18017,17565,17117,16675,16238,15809,15386,14971,14564,14167,13779,19681,19221,18766,18316,17870,17431,16997,16569,16148,15734,15329,14932,14544,14167,19969,19516,19068,18625,18187,17755,17329,16910,16498,16093,15697,15310,19821,19381,18945,18090,17673,17262,16858,16462,16075,15697,20137,19703,19274,18026,17228,16841
