X,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299
1,0,1083,541,10826,11367,11908,1624,1083,2706,5413,10826,11908,12449,3789,4330,5413,5954,6495,7578,8660,9202,9743,10284,10826,12991,13532,4330,7578,8119,8660,9202,10826,11367,11908,13532,14073,6495,5954,5413,4872,4330,3789,3248,2706,3248,3789,4330,4872,8660,9202,9743,11908,12449,14073,14615,7037,6495,5954,5413,4872,4330,3789,4330,8119,8660,9202,10284,10826,11908,12449,12991,13532,14073,14615,7578,7037,6495,5954,5413,4872,4330,4872,7578,8119,8660,11367,11908,12449,12991,9743,9202,8660,8119,7578,6495,5954,5413,4872,5413,6495,8119,8660,11908,12449,16238,16780,10826,10284,9743,9202,8660,7037,6495,5954,5413,5954,6495,7037,7578,16780,17321,11367,10826,7578,7037,6495,6495,7037,20569,7578,7037,6495,21651,21110,8660,8119,7578,23816,23275,22734,22192,11367,10826,9743,9202,24899,24358,23816,18945,18404,17862,17321,16780,14073,13532,12991,12449,11908,11367,10826,10284,25440,18945,18404,17862,17321,16780,15156,14615,14073,13532,12991,12449,11367,10826,25981,18404,17862,17321,16780,16238,15697,15156,14615,14073,13532,12991,11908,26523,25981,24358,23816,21110,20569,18945,18404,17862,17321,16780,16238,15697,15156,14615,14073,13532,12991,26523,25981,25440,24358,23816,23275,22734,22192,21651,21110,19486,18945,18404,17862,17321,16780,16238,15697,15156,14615,14073,23275,22734,22192,21651,21110,20569,20027,19486,18945,18404,17862,17321,16780,16238,15697,15156,23275,22734,22192,21651,21110,20569,20027,19486,18945,18404,17862,17321,16780,16238,23816,23275,22734,22192,21651,21110,20569,20027,19486,18945,18404,17862,17321,16780,24358,23816,23275,22734,22192,21651,21110,20569,20027,19486,18945,18404,24358,23816,23275,22192,21651,21110,20569,20027,19486,18945,24899,24358,23816,22192,21110,20569
2,1083,0,541,10826,11367,11908,541,1083,2706,5413,10826,11908,12449,3789,4330,5413,5954,6495,7578,8660,9202,9743,10284,10826,12991,13532,4330,7578,8119,8660,9202,10826,11367,11908,13532,14073,5413,4872,4330,3789,3248,2706,2165,2706,3248,3789,4330,4872,8660,9202,9743,11908,12449,14073,14615,5954,5413,4872,4330,3789,3248,3789,4330,8119,8660,9202,10284,10826,11908,12449,12991,13532,14073,14615,6495,5954,5413,4872,4330,3789,4330,4872,7578,8119,8660,11367,11908,12449,12991,8660,8119,7578,7037,6495,5413,4872,4330,3789,5413,6495,8119,8660,11908,12449,16238,16780,9743,9202,8660,8119,7578,5954,5413,4872,4330,5954,6495,7037,7578,16780,17321,10284,9743,6495,5954,5413,6495,7037,19486,6495,5954,5413,20569,20027,7578,7037,6495,22734,22192,21651,21110,10284,9743,8660,8119,23816,23275,22734,17862,17321,16780,16238,15697,12991,12449,11908,11367,10826,10284,9743,9202,24358,17862,17321,16780,16238,15697,14073,13532,12991,12449,11908,11367,10284,9743,24899,17321,16780,16238,15697,15156,14615,14073,13532,12991,12449,11908,10826,25440,24899,23275,22734,20027,19486,17862,17321,16780,16238,15697,15156,14615,14073,13532,12991,12449,11908,25440,24899,24358,23275,22734,22192,21651,21110,20569,20027,18404,17862,17321,16780,16238,15697,15156,14615,14073,13532,12991,22192,21651,21110,20569,20027,19486,18945,18404,17862,17321,16780,16238,15697,15156,14615,14073,22192,21651,21110,20569,20027,19486,18945,18404,17862,17321,16780,16238,15697,15156,22734,22192,21651,21110,20569,20027,19486,18945,18404,17862,17321,16780,16238,15697,23275,22734,22192,21651,21110,20569,20027,19486,18945,18404,17862,17321,23275,22734,22192,21110,20569,20027,19486,18945,18404,17862,23816,23275,22734,21110,20027,19486
3,541,541,0,10284,10826,11367,1083,541,2165,4872,10284,11367,11908,3248,3789,4872,5413,5954,7037,8119,8660,9202,9743,10284,12449,12991,3789,7037,7578,8119,8660,10284,10826,11367,12991,13532,5954,5413,4872,4330,3789,3248,2706,2165,2706,3248,3789,4330,8119,8660,9202,11367,11908,13532,14073,6495,5954,5413,4872,4330,3789,3248,3789,7578,8119,8660,9743,10284,11367,11908,12449,12991,13532,14073,7037,6495,5954,5413,4872,4330,3789,4330,7037,7578,8119,10826,11367,11908,12449,9202,8660,8119,7578,7037,5954,5413,4872,4330,4872,5954,7578,8119,11367,11908,15697,16238,10284,9743,9202,8660,8119,6495,5954,5413,4872,5413,5954,6495,7037,16238,16780,10826,10284,7037,6495,5954,5954,6495,20027,7037,6495,5954,21110,20569,8119,7578,7037,23275,22734,22192,21651,10826,10284,9202,8660,24358,23816,23275,18404,17862,17321,16780,16238,13532,12991,12449,11908,11367,10826,10284,9743,24899,18404,17862,17321,16780,16238,14615,14073,13532,12991,12449,11908,10826,10284,25440,17862,17321,16780,16238,15697,15156,14615,14073,13532,12991,12449,11367,25981,25440,23816,23275,20569,20027,18404,17862,17321,16780,16238,15697,15156,14615,14073,13532,12991,12449,25981,25440,24899,23816,23275,22734,22192,21651,21110,20569,18945,18404,17862,17321,16780,16238,15697,15156,14615,14073,13532,22734,22192,21651,21110,20569,20027,19486,18945,18404,17862,17321,16780,16238,15697,15156,14615,22734,22192,21651,21110,20569,20027,19486,18945,18404,17862,17321,16780,16238,15697,23275,22734,22192,21651,21110,20569,20027,19486,18945,18404,17862,17321,16780,16238,23816,23275,22734,22192,21651,21110,20569,20027,19486,18945,18404,17862,23816,23275,22734,21651,21110,20569,20027,19486,18945,18404,24358,23816,23275,21651,20569,20027
4,10826,10826,10284,0,541,1083,11367,10826,9202,6495,1083,1083,1624,9202,8660,7578,7037,6495,5413,4330,3789,3248,2706,2165,2165,2706,9743,6495,5954,5413,4872,3248,2706,2165,2706,3248,16238,15697,15156,14615,14073,13532,12991,12449,11908,11367,10826,10284,6495,5954,5413,3248,2706,3248,3789,16780,16238,15697,15156,14615,14073,12449,11908,8119,7578,7037,5954,5413,4330,3789,3248,2706,3248,3789,17321,16780,16238,15697,15156,14615,12991,12449,9743,9202,8660,5954,5413,4872,4330,19486,18945,18404,17862,17321,16238,15697,15156,14615,12991,11908,10284,9743,6495,5954,5413,5954,20569,20027,19486,18945,18404,16780,16238,15697,15156,13532,12991,12449,11908,5954,6495,21110,20569,17321,16780,16238,14073,13532,30312,17321,16780,16238,31394,30853,18404,17862,17321,33559,33018,32477,31936,21110,20569,19486,18945,34642,34101,33559,28688,28147,27605,27064,26523,23816,23275,22734,22192,21651,21110,20569,20027,35183,28688,28147,27605,27064,26523,24899,24358,23816,23275,22734,22192,21110,20569,35724,28147,27605,27064,26523,25981,25440,24899,24358,23816,23275,22734,21651,36266,35724,34101,33559,30853,30312,28688,28147,27605,27064,26523,25981,25440,24899,24358,23816,23275,22734,36266,35724,35183,34101,33559,33018,32477,31936,31394,30853,29229,28688,28147,27605,27064,26523,25981,25440,24899,24358,23816,33018,32477,31936,31394,30853,30312,29770,29229,28688,28147,27605,27064,26523,25981,25440,24899,33018,32477,31936,31394,30853,30312,29770,29229,28688,28147,27605,27064,26523,25981,33559,33018,32477,31936,31394,30853,30312,29770,29229,28688,28147,27605,27064,26523,34101,33559,33018,32477,31936,31394,30853,30312,29770,29229,28688,28147,34101,33559,33018,31936,31394,30853,30312,29770,29229,28688,34642,34101,33559,31936,30853,30312
5,11367,11367,10826,541,0,541,11908,11367,9743,7037,1624,541,1083,9743,9202,8119,7578,7037,5954,4872,4330,3789,3248,2706,1624,2165,10284,7037,6495,5954,5413,3789,3248,2706,2165,2706,16780,16238,15697,15156,14615,14073,13532,12991,12449,11908,11367,10826,7037,6495,5954,3789,3248,2706,3248,17321,16780,16238,15697,15156,14615,12991,12449,8660,8119,7578,6495,5954,4872,4330,3789,3248,2706,3248,17862,17321,16780,16238,15697,15156,13532,12991,10284,9743,9202,6495,5954,5413,4872,20027,19486,18945,18404,17862,16780,16238,15697,15156,13532,12449,10826,10284,7037,6495,4872,5413,21110,20569,20027,19486,18945,17321,16780,16238,15697,14073,13532,12991,12449,5413,5954,21651,21110,17862,17321,16780,14615,14073,30853,17862,17321,16780,31936,31394,18945,18404,17862,34101,33559,33018,32477,21651,21110,20027,19486,35183,34642,34101,29229,28688,28147,27605,27064,24358,23816,23275,22734,22192,21651,21110,20569,35724,29229,28688,28147,27605,27064,25440,24899,24358,23816,23275,22734,21651,21110,36266,28688,28147,27605,27064,26523,25981,25440,24899,24358,23816,23275,22192,36807,36266,34642,34101,31394,30853,29229,28688,28147,27605,27064,26523,25981,25440,24899,24358,23816,23275,36807,36266,35724,34642,34101,33559,33018,32477,31936,31394,29770,29229,28688,28147,27605,27064,26523,25981,25440,24899,24358,33559,33018,32477,31936,31394,30853,30312,29770,29229,28688,28147,27605,27064,26523,25981,25440,33559,33018,32477,31936,31394,30853,30312,29770,29229,28688,28147,27605,27064,26523,34101,33559,33018,32477,31936,31394,30853,30312,29770,29229,28688,28147,27605,27064,34642,34101,33559,33018,32477,31936,31394,30853,30312,29770,29229,28688,34642,34101,33559,32477,31936,31394,30853,30312,29770,29229,35183,34642,34101,32477,31394,30853
6,11908,11908,11367,1083,541,0,12449,11908,10284,7578,2165,1083,541,10284,9743,8660,8119,7578,6495,5413,4872,4330,3789,3248,1083,1624,10826,7578,7037,6495,5954,4330,3789,3248,1624,2165,17321,16780,16238,15697,15156,14615,14073,13532,12991,12449,11908,11367,7578,7037,6495,4330,3789,2165,2706,17862,17321,16780,16238,15697,15156,13532,12991,9202,8660,8119,7037,6495,5413,4872,4330,3789,3248,2706,18404,17862,17321,16780,16238,15697,14073,13532,10826,10284,9743,7037,6495,5954,5413,20569,20027,19486,18945,18404,17321,16780,16238,15697,14073,12991,11367,10826,7578,7037,4330,4872,21651,21110,20569,20027,19486,17862,17321,16780,16238,14615,14073,13532,12991,4872,5413,22192,21651,18404,17862,17321,15156,14615,31394,18404,17862,17321,32477,31936,19486,18945,18404,34642,34101,33559,33018,22192,21651,20569,20027,35724,35183,34642,29770,29229,28688,28147,27605,24899,24358,23816,23275,22734,22192,21651,21110,36266,29770,29229,28688,28147,27605,25981,25440,24899,24358,23816,23275,22192,21651,36807,29229,28688,28147,27605,27064,26523,25981,25440,24899,24358,23816,22734,37348,36807,35183,34642,31936,31394,29770,29229,28688,28147,27605,27064,26523,25981,25440,24899,24358,23816,37348,36807,36266,35183,34642,34101,33559,33018,32477,31936,30312,29770,29229,28688,28147,27605,27064,26523,25981,25440,24899,34101,33559,33018,32477,31936,31394,30853,30312,29770,29229,28688,28147,27605,27064,26523,25981,34101,33559,33018,32477,31936,31394,30853,30312,29770,29229,28688,28147,27605,27064,34642,34101,33559,33018,32477,31936,31394,30853,30312,29770,29229,28688,28147,27605,35183,34642,34101,33559,33018,32477,31936,31394,30853,30312,29770,29229,35183,34642,34101,33018,32477,31936,31394,30853,30312,29770,35724,35183,34642,33018,31936,31394
7,1624,541,1083,11367,11908,12449,0,541,2165,4872,10284,11367,11908,3248,3789,4872,5413,5954,7037,8119,8660,9202,9743,10284,12449,12991,3789,7037,7578,8119,8660,10284,10826,11367,12991,13532,4872,4330,3789,3248,2706,2165,1624,2165,2706,3248,3789,4330,8119,8660,9202,11367,11908,13532,14073,5413,4872,4330,3789,3248,2706,3248,3789,7578,8119,8660,9743,10284,11367,11908,12449,12991,13532,14073,5954,5413,4872,4330,3789,3248,3789,4330,7037,7578,8119,10826,11367,11908,12449,8119,7578,7037,6495,5954,4872,4330,3789,3248,4872,5954,7578,8119,11367,11908,15697,16238,9202,8660,8119,7578,7037,5413,4872,4330,3789,5413,5954,6495,7037,16238,16780,9743,9202,5954,5413,4872,5954,6495,18945,5954,5413,4872,20027,19486,7037,6495,5954,22192,21651,21110,20569,9743,9202,8119,7578,23275,22734,22192,17321,16780,16238,15697,15156,12449,11908,11367,10826,10284,9743,9202,8660,23816,17321,16780,16238,15697,15156,13532,12991,12449,11908,11367,10826,9743,9202,24358,16780,16238,15697,15156,14615,14073,13532,12991,12449,11908,11367,10284,24899,24358,22734,22192,19486,18945,17321,16780,16238,15697,15156,14615,14073,13532,12991,12449,11908,11367,24899,24358,23816,22734,22192,21651,21110,20569,20027,19486,17862,17321,16780,16238,15697,15156,14615,14073,13532,12991,12449,21651,21110,20569,20027,19486,18945,18404,17862,17321,16780,16238,15697,15156,14615,14073,13532,21651,21110,20569,20027,19486,18945,18404,17862,17321,16780,16238,15697,15156,14615,22192,21651,21110,20569,20027,19486,18945,18404,17862,17321,16780,16238,15697,15156,22734,22192,21651,21110,20569,20027,19486,18945,18404,17862,17321,16780,22734,22192,21651,20569,20027,19486,18945,18404,17862,17321,23275,22734,22192,20569,19486,18945
8,1083,1083,541,10826,11367,11908,541,0,1624,4330,9743,10826,11367,2706,3248,4330,4872,5413,6495,7578,8119,8660,9202,9743,11908,12449,3248,6495,7037,7578,8119,9743,10284,10826,12449,12991,5413,4872,4330,3789,3248,2706,2165,1624,2165,2706,3248,3789,7578,8119,8660,10826,11367,12991,13532,5954,5413,4872,4330,3789,3248,2706,3248,7037,7578,8119,9202,9743,10826,11367,11908,12449,12991,13532,6495,5954,5413,4872,4330,3789,3248,3789,6495,7037,7578,10284,10826,11367,11908,8660,8119,7578,7037,6495,5413,4872,4330,3789,4330,5413,7037,7578,10826,11367,15156,15697,9743,9202,8660,8119,7578,5954,5413,4872,4330,4872,5413,5954,6495,15697,16238,10284,9743,6495,5954,5413,5413,5954,19486,6495,5954,5413,20569,20027,7578,7037,6495,22734,22192,21651,21110,10284,9743,8660,8119,23816,23275,22734,17862,17321,16780,16238,15697,12991,12449,11908,11367,10826,10284,9743,9202,24358,17862,17321,16780,16238,15697,14073,13532,12991,12449,11908,11367,10284,9743,24899,17321,16780,16238,15697,15156,14615,14073,13532,12991,12449,11908,10826,25440,24899,23275,22734,20027,19486,17862,17321,16780,16238,15697,15156,14615,14073,13532,12991,12449,11908,25440,24899,24358,23275,22734,22192,21651,21110,20569,20027,18404,17862,17321,16780,16238,15697,15156,14615,14073,13532,12991,22192,21651,21110,20569,20027,19486,18945,18404,17862,17321,16780,16238,15697,15156,14615,14073,22192,21651,21110,20569,20027,19486,18945,18404,17862,17321,16780,16238,15697,15156,22734,22192,21651,21110,20569,20027,19486,18945,18404,17862,17321,16780,16238,15697,23275,22734,22192,21651,21110,20569,20027,19486,18945,18404,17862,17321,23275,22734,22192,21110,20569,20027,19486,18945,18404,17862,23816,23275,22734,21110,20027,19486
9,2706,2706,2165,9202,9743,10284,2165,1624,0,2706,8119,9202,9743,1083,1624,2706,3248,3789,4872,5954,6495,7037,7578,8119,10284,10826,1624,4872,5413,5954,6495,8119,8660,9202,10826,11367,7037,6495,5954,5413,4872,4330,3789,3248,2706,2165,1624,2165,5954,6495,7037,9202,9743,11367,11908,7578,7037,6495,5954,5413,4872,3248,2706,5413,5954,6495,7578,8119,9202,9743,10284,10826,11367,11908,8119,7578,7037,6495,5954,5413,3789,3248,4872,5413,5954,8660,9202,9743,10284,10284,9743,9202,8660,8119,7037,6495,5954,5413,3789,3789,5413,5954,9202,9743,13532,14073,11367,10826,10284,9743,9202,7578,7037,6495,5954,4330,3789,4330,4872,14073,14615,11908,11367,8119,7578,7037,4872,4330,21110,8119,7578,7037,22192,21651,9202,8660,8119,24358,23816,23275,22734,11908,11367,10284,9743,25440,24899,24358,19486,18945,18404,17862,17321,14615,14073,13532,12991,12449,11908,11367,10826,25981,19486,18945,18404,17862,17321,15697,15156,14615,14073,13532,12991,11908,11367,26523,18945,18404,17862,17321,16780,16238,15697,15156,14615,14073,13532,12449,27064,26523,24899,24358,21651,21110,19486,18945,18404,17862,17321,16780,16238,15697,15156,14615,14073,13532,27064,26523,25981,24899,24358,23816,23275,22734,22192,21651,20027,19486,18945,18404,17862,17321,16780,16238,15697,15156,14615,23816,23275,22734,22192,21651,21110,20569,20027,19486,18945,18404,17862,17321,16780,16238,15697,23816,23275,22734,22192,21651,21110,20569,20027,19486,18945,18404,17862,17321,16780,24358,23816,23275,22734,22192,21651,21110,20569,20027,19486,18945,18404,17862,17321,24899,24358,23816,23275,22734,22192,21651,21110,20569,20027,19486,18945,24899,24358,23816,22734,22192,21651,21110,20569,20027,19486,25440,24899,24358,22734,21651,21110
10,5413,5413,4872,6495,7037,7578,4872,4330,2706,0,5413,6495,7037,2706,2165,1083,541,1083,2165,3248,3789,4330,4872,5413,7578,8119,3248,2165,2706,3248,3789,5413,5954,6495,8119,8660,9743,9202,8660,8119,7578,7037,6495,5954,5413,4872,4330,3789,3248,3789,4330,6495,7037,8660,9202,10284,9743,9202,8660,8119,7578,5954,5413,2706,3248,3789,4872,5413,6495,7037,7578,8119,8660,9202,10826,10284,9743,9202,8660,8119,6495,5954,3248,2706,3248,5954,6495,7037,7578,12991,12449,11908,11367,10826,9743,9202,8660,8119,6495,5413,3789,3248,6495,7037,10826,11367,14073,13532,12991,12449,11908,10284,9743,9202,8660,7037,6495,5954,5413,11367,11908,14615,14073,10826,10284,9743,7578,7037,23816,10826,10284,9743,24899,24358,11908,11367,10826,27064,26523,25981,25440,14615,14073,12991,12449,28147,27605,27064,22192,21651,21110,20569,20027,17321,16780,16238,15697,15156,14615,14073,13532,28688,22192,21651,21110,20569,20027,18404,17862,17321,16780,16238,15697,14615,14073,29229,21651,21110,20569,20027,19486,18945,18404,17862,17321,16780,16238,15156,29770,29229,27605,27064,24358,23816,22192,21651,21110,20569,20027,19486,18945,18404,17862,17321,16780,16238,29770,29229,28688,27605,27064,26523,25981,25440,24899,24358,22734,22192,21651,21110,20569,20027,19486,18945,18404,17862,17321,26523,25981,25440,24899,24358,23816,23275,22734,22192,21651,21110,20569,20027,19486,18945,18404,26523,25981,25440,24899,24358,23816,23275,22734,22192,21651,21110,20569,20027,19486,27064,26523,25981,25440,24899,24358,23816,23275,22734,22192,21651,21110,20569,20027,27605,27064,26523,25981,25440,24899,24358,23816,23275,22734,22192,21651,27605,27064,26523,25440,24899,24358,23816,23275,22734,22192,28147,27605,27064,25440,24358,23816
