Group,Population,X,Y
1,48,16727.17039122322,12374.393248518929
2,58,17376.706512783247,12374.393248518929
3,13,29068.35670086363,12374.393248518929
4,303,16727.17039122322,11724.857126958668
5,163,17376.706512783247,11724.857126958668
6,14,18675.778755903302,11724.857126958668
7,78,21923.459363703325,11724.857126958668
8,129,27119.748336183548,11724.857126958668
9,45,27769.284457743575,11724.857126958668
10,259,28418.820579303603,11724.857126958668
11,238,29068.35670086363,11724.857126958668
12,158,19325.31487746333,11075.321005398408
13,70,19974.850999023358,11075.321005398408
14,69,21273.923242143297,11075.321005398408
15,256,21923.459363703325,11075.321005398408
16,26,22572.995485263353,11075.321005398408
17,39,23222.53160682338,11075.321005398408
18,87,24521.603849943436,11075.321005398408
19,103,25171.139971503464,11075.321005398408
20,73,25820.676093063492,11075.321005398408
21,13,26470.21221462352,11075.321005398408
22,12,27119.748336183548,11075.321005398408
23,25,28418.820579303603,11075.321005398408
24,197,29068.35670086363,11075.321005398408
25,275,19325.31487746333,10425.784883838147
26,42,19974.850999023358,10425.784883838147
27,30,23222.53160682338,10425.784883838147
28,32,23872.06772838341,10425.784883838147
29,70,24521.603849943436,10425.784883838147
30,29,25820.676093063492,10425.784883838147
31,562,26470.21221462352,10425.784883838147
32,75,27119.748336183548,10425.784883838147
33,147,28418.820579303603,10425.784883838147
34,425,29068.35670086363,10425.784883838147
35,112,13479.48978342308,9776.248762277886
36,530,14129.025904983107,9776.248762277886
37,343,14778.562026543135,9776.248762277886
38,524,15428.098148103163,9776.248762277886
39,247,16077.634269663191,9776.248762277886
40,189,16727.17039122322,9776.248762277886
41,25,17376.706512783247,9776.248762277886
42,666,18026.242634343274,9776.248762277886
43,417,18675.778755903302,9776.248762277886
44,17,19974.850999023358,9776.248762277886
45,67,22572.995485263353,9776.248762277886
46,359,23222.53160682338,9776.248762277886
47,234,23872.06772838341,9776.248762277886
48,89,24521.603849943436,9776.248762277886
49,66,26470.21221462352,9776.248762277886
50,32,27119.748336183548,9776.248762277886
51,81,27769.284457743575,9776.248762277886
52,139,28418.820579303603,9776.248762277886
53,80,29068.35670086363,9776.248762277886
54,613,13479.48978342308,9126.712640717626
55,760,14129.025904983107,9126.712640717626
56,420,14778.562026543135,9126.712640717626
57,159,15428.098148103163,9126.712640717626
58,296,16077.634269663191,9126.712640717626
59,394,18026.242634343274,9126.712640717626
60,30,18675.778755903302,9126.712640717626
61,196,21923.459363703325,9126.712640717626
62,184,22572.995485263353,9126.712640717626
63,246,24521.603849943436,9126.712640717626
64,194,25171.139971503464,9126.712640717626
65,308,26470.21221462352,9126.712640717626
66,182,27119.748336183548,9126.712640717626
67,41,27769.284457743575,9126.712640717626
68,16,12829.953661863052,8477.176519157365
69,649,13479.48978342308,8477.176519157365
70,152,14129.025904983107,8477.176519157365
71,53,14778.562026543135,8477.176519157365
72,939,15428.098148103163,8477.176519157365
73,995,16077.634269663191,8477.176519157365
74,17,16727.17039122322,8477.176519157365
75,262,18026.242634343274,8477.176519157365
76,82,19325.31487746333,8477.176519157365
77,74,21273.923242143297,8477.176519157365
78,173,21923.459363703325,8477.176519157365
79,24,24521.603849943436,8477.176519157365
80,70,25171.139971503464,8477.176519157365
81,38,25820.676093063492,8477.176519157365
82,34,29068.35670086363,8477.176519157365
83,135,29717.892822423542,8477.176519157365
84,183,11530.881418743113,7827.640397598967
85,424,12180.41754030314,7827.640397598967
86,55,12829.953661863052,7827.640397598967
87,152,13479.48978342308,7827.640397598967
88,115,15428.098148103163,7827.640397598967
89,259,16077.634269663191,7827.640397598967
90,355,16727.17039122322,7827.640397598967
91,57,18026.242634343274,7827.640397598967
92,165,18675.778755903302,7827.640397598967
93,438,19325.31487746333,7827.640397598967
94,140,19974.850999023358,7827.640397598967
95,86,29068.35670086363,7827.640397598967
