X,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231
1,0,650,12341,650,1299,2598,5846,11042,11692,12341,12991,3897,4547,5846,6495,7145,7794,9094,9743,10393,11042,11692,12991,13640,4547,5196,8444,9094,9743,11042,11692,12341,13640,14290,5846,5196,4547,3897,3248,2598,3248,3897,4547,5846,8444,9094,9743,10393,12341,12991,13640,14290,14939,6495,5846,5196,4547,3897,4547,5196,8444,9094,11042,11692,12991,13640,14290,7794,7145,6495,5846,5196,4547,3897,5196,6495,8444,9094,11692,12341,12991,16238,16888,9743,9094,8444,7794,5846,5196,4547,5846,6495,7145,7794,16888,17537,14290,10393,6495,5846,5196,7145,20136,7145,6495,5846,21435,10393,9743,8444,7794,23383,22734,17537,16888,12991,12341,11692,11042,10393,9743,9094,24682,24033,18187,17537,16888,16238,15589,14290,13640,12991,12341,11692,11042,10393,9743,25332,24682,22734,17537,16888,16238,15589,14939,14290,13640,12991,12341,11042,25981,25332,24682,24033,23383,22734,22084,20785,20136,19486,18187,17537,16888,16238,15589,14939,14290,13640,12991,12341,24682,23383,22734,22084,21435,20785,19486,18837,18187,17537,16888,16238,15589,14939,14290,13640,22084,21435,20785,20136,19486,18837,18187,17537,16888,16238,15589,14939,22734,22084,21435,20785,20136,19486,18837,18187,17537,16888,16238,15589,23383,22734,22084,21435,20785,20136,19486,18837,18187,17537,24033,23383,22734,22084,21435,20785,20136,19486,18837,18187,20136
2,650,0,11692,1299,650,1949,5196,10393,11042,11692,12341,3248,3897,5196,5846,6495,7145,8444,9094,9743,10393,11042,12341,12991,3897,4547,7794,8444,9094,10393,11042,11692,12991,13640,6495,5846,5196,4547,3897,3248,2598,3248,3897,5196,7794,8444,9094,9743,11692,12341,12991,13640,14290,7145,6495,5846,5196,4547,3897,4547,7794,8444,10393,11042,12341,12991,13640,8444,7794,7145,6495,5846,5196,4547,4547,5846,7794,8444,11042,11692,12341,15589,16238,10393,9743,9094,8444,6495,5846,5196,5196,5846,6495,7145,16238,16888,14939,11042,7145,6495,5846,6495,20785,7794,7145,6495,22084,11042,10393,9094,8444,24033,23383,18187,17537,13640,12991,12341,11692,11042,10393,9743,25332,24682,18837,18187,17537,16888,16238,14939,14290,13640,12991,12341,11692,11042,10393,25981,25332,23383,18187,17537,16888,16238,15589,14939,14290,13640,12991,11692,26631,25981,25332,24682,24033,23383,22734,21435,20785,20136,18837,18187,17537,16888,16238,15589,14939,14290,13640,12991,25332,24033,23383,22734,22084,21435,20136,19486,18837,18187,17537,16888,16238,15589,14939,14290,22734,22084,21435,20785,20136,19486,18837,18187,17537,16888,16238,15589,23383,22734,22084,21435,20785,20136,19486,18837,18187,17537,16888,16238,24033,23383,22734,22084,21435,20785,20136,19486,18837,18187,24682,24033,23383,22734,22084,21435,20785,20136,19486,18837,20785
3,12341,11692,0,12991,12341,11042,7794,2598,1949,1299,650,11042,10393,9094,8444,7794,7145,5846,5196,4547,3897,3248,1949,1299,11692,11042,7794,7145,6495,5196,4547,3897,2598,1949,18187,17537,16888,16238,15589,14939,14290,13640,12991,11692,9094,8444,7794,7145,5196,4547,3897,3248,2598,18837,18187,17537,16888,16238,14290,13640,10393,9743,7794,7145,5846,5196,4547,20136,19486,18837,18187,17537,16888,16238,14939,13640,11692,11042,8444,7794,7145,3897,4547,22084,21435,20785,20136,18187,17537,16888,15589,14939,14290,13640,4547,5196,26631,22734,18837,18187,17537,15589,32477,19486,18837,18187,33776,22734,22084,20785,20136,35724,35075,29879,29229,25332,24682,24033,23383,22734,22084,21435,37024,36374,30528,29879,29229,28580,27930,26631,25981,25332,24682,24033,23383,22734,22084,37673,37024,35075,29879,29229,28580,27930,27281,26631,25981,25332,24682,23383,38323,37673,37024,36374,35724,35075,34425,33126,32477,31827,30528,29879,29229,28580,27930,27281,26631,25981,25332,24682,37024,35724,35075,34425,33776,33126,31827,31178,30528,29879,29229,28580,27930,27281,26631,25981,34425,33776,33126,32477,31827,31178,30528,29879,29229,28580,27930,27281,35075,34425,33776,33126,32477,31827,31178,30528,29879,29229,28580,27930,35724,35075,34425,33776,33126,32477,31827,31178,30528,29879,36374,35724,35075,34425,33776,33126,32477,31827,31178,30528,32477
4,650,1299,12991,0,650,1949,5196,10393,11042,11692,12341,3248,3897,5196,5846,6495,7145,8444,9094,9743,10393,11042,12341,12991,3897,4547,7794,8444,9094,10393,11042,11692,12991,13640,5196,4547,3897,3248,2598,1949,2598,3248,3897,5196,7794,8444,9094,9743,11692,12341,12991,13640,14290,5846,5196,4547,3897,3248,3897,4547,7794,8444,10393,11042,12341,12991,13640,7145,6495,5846,5196,4547,3897,3248,4547,5846,7794,8444,11042,11692,12341,15589,16238,9094,8444,7794,7145,5196,4547,3897,5196,5846,6495,7145,16238,16888,13640,9743,5846,5196,4547,6495,19486,6495,5846,5196,20785,9743,9094,7794,7145,22734,22084,16888,16238,12341,11692,11042,10393,9743,9094,8444,24033,23383,17537,16888,16238,15589,14939,13640,12991,12341,11692,11042,10393,9743,9094,24682,24033,22084,16888,16238,15589,14939,14290,13640,12991,12341,11692,10393,25332,24682,24033,23383,22734,22084,21435,20136,19486,18837,17537,16888,16238,15589,14939,14290,13640,12991,12341,11692,24033,22734,22084,21435,20785,20136,18837,18187,17537,16888,16238,15589,14939,14290,13640,12991,21435,20785,20136,19486,18837,18187,17537,16888,16238,15589,14939,14290,22084,21435,20785,20136,19486,18837,18187,17537,16888,16238,15589,14939,22734,22084,21435,20785,20136,19486,18837,18187,17537,16888,23383,22734,22084,21435,20785,20136,19486,18837,18187,17537,19486
5,1299,650,12341,650,0,1299,4547,9743,10393,11042,11692,2598,3248,4547,5196,5846,6495,7794,8444,9094,9743,10393,11692,12341,3248,3897,7145,7794,8444,9743,10393,11042,12341,12991,5846,5196,4547,3897,3248,2598,1949,2598,3248,4547,7145,7794,8444,9094,11042,11692,12341,12991,13640,6495,5846,5196,4547,3897,3248,3897,7145,7794,9743,10393,11692,12341,12991,7794,7145,6495,5846,5196,4547,3897,3897,5196,7145,7794,10393,11042,11692,14939,15589,9743,9094,8444,7794,5846,5196,4547,4547,5196,5846,6495,15589,16238,14290,10393,6495,5846,5196,5846,20136,7145,6495,5846,21435,10393,9743,8444,7794,23383,22734,17537,16888,12991,12341,11692,11042,10393,9743,9094,24682,24033,18187,17537,16888,16238,15589,14290,13640,12991,12341,11692,11042,10393,9743,25332,24682,22734,17537,16888,16238,15589,14939,14290,13640,12991,12341,11042,25981,25332,24682,24033,23383,22734,22084,20785,20136,19486,18187,17537,16888,16238,15589,14939,14290,13640,12991,12341,24682,23383,22734,22084,21435,20785,19486,18837,18187,17537,16888,16238,15589,14939,14290,13640,22084,21435,20785,20136,19486,18837,18187,17537,16888,16238,15589,14939,22734,22084,21435,20785,20136,19486,18837,18187,17537,16888,16238,15589,23383,22734,22084,21435,20785,20136,19486,18837,18187,17537,24033,23383,22734,22084,21435,20785,20136,19486,18837,18187,20136
6,2598,1949,11042,1949,1299,0,3248,8444,9094,9743,10393,1299,1949,3248,3897,4547,5196,6495,7145,7794,8444,9094,10393,11042,1949,2598,5846,6495,7145,8444,9094,9743,11042,11692,7145,6495,5846,5196,4547,3897,3248,2598,1949,3248,5846,6495,7145,7794,9743,10393,11042,11692,12341,7794,7145,6495,5846,5196,3248,2598,5846,6495,8444,9094,10393,11042,11692,9094,8444,7794,7145,6495,5846,5196,3897,3897,5846,6495,9094,9743,10393,13640,14290,11042,10393,9743,9094,7145,6495,5846,4547,3897,4547,5196,14290,14939,15589,11692,7794,7145,6495,4547,21435,8444,7794,7145,22734,11692,11042,9743,9094,24682,24033,18837,18187,14290,13640,12991,12341,11692,11042,10393,25981,25332,19486,18837,18187,17537,16888,15589,14939,14290,13640,12991,12341,11692,11042,26631,25981,24033,18837,18187,17537,16888,16238,15589,14939,14290,13640,12341,27281,26631,25981,25332,24682,24033,23383,22084,21435,20785,19486,18837,18187,17537,16888,16238,15589,14939,14290,13640,25981,24682,24033,23383,22734,22084,20785,20136,19486,18837,18187,17537,16888,16238,15589,14939,23383,22734,22084,21435,20785,20136,19486,18837,18187,17537,16888,16238,24033,23383,22734,22084,21435,20785,20136,19486,18837,18187,17537,16888,24682,24033,23383,22734,22084,21435,20785,20136,19486,18837,25332,24682,24033,23383,22734,22084,21435,20785,20136,19486,21435
7,5846,5196,7794,5196,4547,3248,0,5196,5846,6495,7145,3248,2598,1299,650,1299,1949,3248,3897,4547,5196,5846,7145,7794,3897,3248,2598,3248,3897,5196,5846,6495,7794,8444,10393,9743,9094,8444,7794,7145,6495,5846,5196,3897,2598,3248,3897,4547,6495,7145,7794,8444,9094,11042,10393,9743,9094,8444,6495,5846,2598,3248,5196,5846,7145,7794,8444,12341,11692,11042,10393,9743,9094,8444,7145,5846,3897,3248,5846,6495,7145,10393,11042,14290,13640,12991,12341,10393,9743,9094,7794,7145,6495,5846,11042,11692,18837,14939,11042,10393,9743,7794,24682,11692,11042,10393,25981,14939,14290,12991,12341,27930,27281,22084,21435,17537,16888,16238,15589,14939,14290,13640,29229,28580,22734,22084,21435,20785,20136,18837,18187,17537,16888,16238,15589,14939,14290,29879,29229,27281,22084,21435,20785,20136,19486,18837,18187,17537,16888,15589,30528,29879,29229,28580,27930,27281,26631,25332,24682,24033,22734,22084,21435,20785,20136,19486,18837,18187,17537,16888,29229,27930,27281,26631,25981,25332,24033,23383,22734,22084,21435,20785,20136,19486,18837,18187,26631,25981,25332,24682,24033,23383,22734,22084,21435,20785,20136,19486,27281,26631,25981,25332,24682,24033,23383,22734,22084,21435,20785,20136,27930,27281,26631,25981,25332,24682,24033,23383,22734,22084,28580,27930,27281,26631,25981,25332,24682,24033,23383,22734,24682
8,11042,10393,2598,10393,9743,8444,5196,0,650,1299,1949,8444,7794,6495,5846,5196,4547,3248,2598,1949,1299,650,1949,2598,9094,8444,5196,4547,3897,2598,1949,1299,2598,3248,15589,14939,14290,13640,12991,12341,11692,11042,10393,9094,6495,5846,5196,4547,2598,1949,2598,3248,3897,16238,15589,14939,14290,13640,11692,11042,7794,7145,5196,4547,3248,2598,3248,17537,16888,16238,15589,14939,14290,13640,12341,11042,9094,8444,5846,5196,4547,5196,5846,19486,18837,18187,17537,15589,14939,14290,12991,12341,11692,11042,5846,6495,24033,20136,16238,15589,14939,12991,29879,16888,16238,15589,31178,20136,19486,18187,17537,33126,32477,27281,26631,22734,22084,21435,20785,20136,19486,18837,34425,33776,27930,27281,26631,25981,25332,24033,23383,22734,22084,21435,20785,20136,19486,35075,34425,32477,27281,26631,25981,25332,24682,24033,23383,22734,22084,20785,35724,35075,34425,33776,33126,32477,31827,30528,29879,29229,27930,27281,26631,25981,25332,24682,24033,23383,22734,22084,34425,33126,32477,31827,31178,30528,29229,28580,27930,27281,26631,25981,25332,24682,24033,23383,31827,31178,30528,29879,29229,28580,27930,27281,26631,25981,25332,24682,32477,31827,31178,30528,29879,29229,28580,27930,27281,26631,25981,25332,33126,32477,31827,31178,30528,29879,29229,28580,27930,27281,33776,33126,32477,31827,31178,30528,29879,29229,28580,27930,29879
9,11692,11042,1949,11042,10393,9094,5846,650,0,650,1299,9094,8444,7145,6495,5846,5196,3897,3248,2598,1949,1299,1299,1949,9743,9094,5846,5196,4547,3248,2598,1949,1949,2598,16238,15589,14939,14290,13640,12991,12341,11692,11042,9743,7145,6495,5846,5196,3248,2598,1949,2598,3248,16888,16238,15589,14939,14290,12341,11692,8444,7794,5846,5196,3897,3248,2598,18187,17537,16888,16238,15589,14939,14290,12991,11692,9743,9094,6495,5846,5196,4547,5196,20136,19486,18837,18187,16238,15589,14939,13640,12991,12341,11692,5196,5846,24682,20785,16888,16238,15589,13640,30528,17537,16888,16238,31827,20785,20136,18837,18187,33776,33126,27930,27281,23383,22734,22084,21435,20785,20136,19486,35075,34425,28580,27930,27281,26631,25981,24682,24033,23383,22734,22084,21435,20785,20136,35724,35075,33126,27930,27281,26631,25981,25332,24682,24033,23383,22734,21435,36374,35724,35075,34425,33776,33126,32477,31178,30528,29879,28580,27930,27281,26631,25981,25332,24682,24033,23383,22734,35075,33776,33126,32477,31827,31178,29879,29229,28580,27930,27281,26631,25981,25332,24682,24033,32477,31827,31178,30528,29879,29229,28580,27930,27281,26631,25981,25332,33126,32477,31827,31178,30528,29879,29229,28580,27930,27281,26631,25981,33776,33126,32477,31827,31178,30528,29879,29229,28580,27930,34425,33776,33126,32477,31827,31178,30528,29879,29229,28580,30528
10,12341,11692,1299,11692,11042,9743,6495,1299,650,0,650,9743,9094,7794,7145,6495,5846,4547,3897,3248,2598,1949,650,1299,10393,9743,6495,5846,5196,3897,3248,2598,1299,1949,16888,16238,15589,14939,14290,13640,12991,12341,11692,10393,7794,7145,6495,5846,3897,3248,2598,1949,2598,17537,16888,16238,15589,14939,12991,12341,9094,8444,6495,5846,4547,3897,3248,18837,18187,17537,16888,16238,15589,14939,13640,12341,10393,9743,7145,6495,5846,3897,4547,20785,20136,19486,18837,16888,16238,15589,14290,13640,12991,12341,4547,5196,25332,21435,17537,16888,16238,14290,31178,18187,17537,16888,32477,21435,20785,19486,18837,34425,33776,28580,27930,24033,23383,22734,22084,21435,20785,20136,35724,35075,29229,28580,27930,27281,26631,25332,24682,24033,23383,22734,22084,21435,20785,36374,35724,33776,28580,27930,27281,26631,25981,25332,24682,24033,23383,22084,37024,36374,35724,35075,34425,33776,33126,31827,31178,30528,29229,28580,27930,27281,26631,25981,25332,24682,24033,23383,35724,34425,33776,33126,32477,31827,30528,29879,29229,28580,27930,27281,26631,25981,25332,24682,33126,32477,31827,31178,30528,29879,29229,28580,27930,27281,26631,25981,33776,33126,32477,31827,31178,30528,29879,29229,28580,27930,27281,26631,34425,33776,33126,32477,31827,31178,30528,29879,29229,28580,35075,34425,33776,33126,32477,31827,31178,30528,29879,29229,31178
