Group,Population,X,Y
1,100,1.1,12.65
2,15,2.75,12.65
3,129,5.5,12.65
4,10,6.050000000000001,12.65
5,235,7.15,12.65
6,88,7.700000000000001,12.65
7,56,8.25,12.65
8,49,9.350000000000001,12.65
9,40,12.65,12.65
10,87,0,12.100000000000001
11,26,0.55,12.100000000000001
12,60,1.6500000000000001,12.100000000000001
13,132,2.2,12.100000000000001
14,18,2.75,12.100000000000001
15,110,3.3000000000000003,12.100000000000001
16,65,4.95,12.100000000000001
17,129,5.5,12.100000000000001
18,52,6.050000000000001,12.100000000000001
19,18,6.6000000000000005,12.100000000000001
20,111,7.15,12.100000000000001
21,232,7.700000000000001,12.100000000000001
22,73,8.25,12.100000000000001
23,173,8.8,12.100000000000001
24,27,0.55,11.55
25,482,2.2,11.55
26,337,2.75,11.55
27,169,6.050000000000001,11.55
28,65,6.6000000000000005,11.55
29,198,7.15,11.55
30,110,7.700000000000001,11.55
31,182,8.25,11.55
32,384,2.2,11
33,809,2.75,11
34,528,3.3000000000000003,11
35,122,3.8500000000000005,11
36,84,4.95,11
37,559,6.050000000000001,11
38,130,6.6000000000000005,11
39,52,7.15,11
40,610,7.700000000000001,11
41,337,2.75,10.450000000000001
42,349,3.3000000000000003,10.450000000000001
43,337,3.8500000000000005,10.450000000000001
44,231,4.4,10.450000000000001
45,319,4.95,10.450000000000001
46,63,5.5,10.450000000000001
47,296,6.050000000000001,10.450000000000001
48,464,6.6000000000000005,10.450000000000001
49,89,7.15,10.450000000000001
50,75,9.9,10.450000000000001
51,19,2.2,9.9
52,82,3.8500000000000005,9.9
53,45,4.4,9.9
54,378,4.95,9.9
55,65,5.5,9.9
56,357,6.050000000000001,9.9
57,381,6.6000000000000005,9.9
58,76,8.8,9.9
59,53,9.9,9.9
60,239,0,9.35
61,68,3.8500000000000005,9.35
62,301,4.4,9.35
63,44,4.95,9.35
64,169,6.050000000000001,9.35
65,507,6.6000000000000005,9.35
66,98,7.15,9.35
67,77,7.700000000000001,9.35
68,338,8.8,9.35
69,809,9.350000000000001,9.35
70,53,9.9,9.35
71,20,0,8.8
72,55,3.3000000000000003,8.8
73,75,3.8500000000000005,8.8
74,82,4.4,8.8
75,301,6.6000000000000005,8.8
76,212,7.15,8.8
77,20,7.700000000000001,8.8
78,296,8.25,8.8
79,486,8.8,8.8
80,644,9.350000000000001,8.8
81,291,9.9,8.8
82,187,10.450000000000001,8.8
83,77,11,8.8
84,16,11.55,8.8
85,52,0.55,8.25
86,16,3.3000000000000003,8.25
87,25,3.8500000000000005,8.25
88,65,6.050000000000001,8.25
89,38,6.6000000000000005,8.25
90,300,7.15,8.25
91,117,7.700000000000001,8.25
92,259,8.25,8.25
93,288,8.8,8.25
94,139,9.350000000000001,8.25
95,129,9.9,8.25
96,468,10.450000000000001,8.25
97,188,11,8.25
98,142,11.55,8.25
99,223,0,7.7
100,50,0.55,7.7
101,10,2.2,7.7
102,336,5.5,7.7
103,49,6.050000000000001,7.7
104,153,6.6000000000000005,7.7
105,520,7.15,7.7
106,528,7.700000000000001,7.7
107,428,8.25,7.7
108,320,8.8,7.7
109,130,9.350000000000001,7.7
110,386,9.9,7.7
111,93,10.450000000000001,7.7
112,56,0,7.15
113,21,0.55,7.15
114,46,1.6500000000000001,7.15
115,21,3.8500000000000005,7.15
116,422,4.4,7.15
117,653,4.95,7.15
118,610,5.5,7.15
119,49,6.6000000000000005,7.15
120,65,7.15,7.15
121,26,7.700000000000001,7.15
122,84,8.25,7.15
123,35,8.8,7.15
124,343,9.350000000000001,7.15
125,119,9.9,7.15
126,88,11.55,7.15
127,26,12.100000000000001,7.15
128,235,12.65,7.15
129,294,0,6.6000000000000005
130,352,0.55,6.6000000000000005
131,89,4.4,6.6000000000000005
132,507,4.95,6.6000000000000005
133,369,5.5,6.6000000000000005
134,86,6.050000000000001,6.6000000000000005
135,71,6.6000000000000005,6.6000000000000005
136,148,7.700000000000001,6.6000000000000005
137,268,8.8,6.6000000000000005
138,384,9.350000000000001,6.6000000000000005
139,157,9.9,6.6000000000000005
140,93,10.450000000000001,6.6000000000000005
141,60,12.100000000000001,6.6000000000000005
142,82,12.65,6.6000000000000005
143,343,0,6.05
144,131,0.55,6.05
145,547,4.95,6.05
146,356,5.5,6.05
147,399,6.050000000000001,6.05
148,19,7.15,6.05
149,137,9.9,6.05
150,131,12.65,6.05
151,24,0.55,5.5
152,350,4.95,5.5
153,248,5.5,5.5
154,68,6.050000000000001,5.5
155,21,6.6000000000000005,5.5
156,17,7.700000000000001,5.5
157,26,8.25,5.5
158,28,9.9,5.5
159,76,11,5.5
160,232,12.65,5.5
161,547,4.95,4.95
162,399,5.5,4.95
163,127,7.15,4.95
164,18,7.700000000000001,4.95
165,53,9.350000000000001,4.95
166,53,9.9,4.95
167,19,10.450000000000001,4.95
168,24,11,4.95
169,73,12.100000000000001,4.95
170,119,12.65,4.95
171,17,0.55,4.4
172,66,2.2,4.4
173,39,4.4,4.4
174,507,4.95,4.4
175,610,5.5,4.4
176,232,6.050000000000001,4.4
177,354,7.15,4.4
178,235,7.700000000000001,4.4
179,87,8.25,4.4
180,52,8.8,4.4
181,139,9.350000000000001,4.4
182,117,9.9,4.4
183,125,10.450000000000001,4.4
184,19,12.100000000000001,4.4
185,249,12.65,4.4
186,338,1.1,3.8500000000000005
187,24,1.6500000000000001,3.8500000000000005
188,242,4.95,3.8500000000000005
189,84,5.5,3.8500000000000005
190,178,6.050000000000001,3.8500000000000005
191,55,7.15,3.8500000000000005
192,19,7.700000000000001,3.8500000000000005
193,38,8.8,3.8500000000000005
194,18,9.350000000000001,3.8500000000000005
195,368,9.9,3.8500000000000005
196,39,10.450000000000001,3.8500000000000005
197,14,11,3.8500000000000005
198,39,1.1,3.3000000000000003
199,143,6.6000000000000005,3.3000000000000003
200,12,7.15,3.3000000000000003
201,130,8.25,3.3000000000000003
202,67,8.8,3.3000000000000003
203,89,9.9,3.3000000000000003
204,132,10.450000000000001,3.3000000000000003
205,492,11.55,3.3000000000000003
206,82,12.100000000000001,3.3000000000000003
207,26,4.95,2.7500000000000004
208,212,5.5,2.7500000000000004
209,122,6.050000000000001,2.7500000000000004
210,386,6.6000000000000005,2.7500000000000004
211,65,7.15,2.7500000000000004
212,212,7.700000000000001,2.7500000000000004
213,19,8.8,2.7500000000000004
214,39,10.450000000000001,2.7500000000000004
215,368,11.55,2.7500000000000004
