what	T1	W	k
mode	0.005397813706775477	0.4078429369883038	0.20329223440303107
mean	0.00521343994037689	0.3668993568335695	0.21708441747030474
median	0.005214707614184656	0.40393490434207613	0.2166172806590758
quantile_50_lower_bound	0.004989173617525204	0.3225056136402593	0.20475713240562535
quantile_50_upper_bound	0.00545429138667989	0.4063468310157625	0.23462438578017292
quantile_90_lower_bound	0.004963545064491158	0.312913342774811	0.2010461585533124
quantile_90_upper_bound	0.00545429138667989	0.4123687976761227	0.2351784150852499
quantile_95_lower_bound	0.004963545064491158	0.312913342774811	0.2010461585533124
quantile_95_upper_bound	0.00545429138667989	0.42069897585235894	0.2351784150852499
quantile_99_lower_bound	0.004137660092251262	0.312913342774811	0.16758192300131586
quantile_99_upper_bound	0.00545429138667989	0.5104933643655524	0.2351784150852499
HPD_50_lower_bound	0.005214707614184656	0.3225056136402593	0.2010461585533124
HPD_50_upper_bound	0.00545429138667989	0.4063468310157625	0.22903281748556342
HPD_90_lower_bound	0.004963545064491158	0.312913342774811	0.2010461585533124
HPD_90_upper_bound	0.00545429138667989	0.4123687976761227	0.234643792877353
HPD_95_lower_bound	0.004963545064491158	0.312913342774811	0.2010461585533124
HPD_95_upper_bound	0.00545429138667989	0.4123687976761227	0.2351784150852499
HPD_99_lower_bound	0.004137660092251262	0.312913342774811	0.16758192300131586
HPD_99_upper_bound	0.00545429138667989	0.5104933643655524	0.2351784150852499
