Group,Population,X,Y
1,46,16727.17039122322,12374.393248518929
2,56,17376.706512783247,12374.393248518929
3,12,29068.35670086363,12374.393248518929
4,291,16727.17039122322,11724.857126958668
5,156,17376.706512783247,11724.857126958668
6,13,18675.778755903302,11724.857126958668
7,75,21923.459363703325,11724.857126958668
8,124,27119.748336183548,11724.857126958668
9,43,27769.284457743575,11724.857126958668
10,249,28418.820579303603,11724.857126958668
11,229,29068.35670086363,11724.857126958668
12,9,18026.242634343274,11075.321005398408
13,5,18675.778755903302,11075.321005398408
14,152,19325.31487746333,11075.321005398408
15,67,19974.850999023358,11075.321005398408
16,66,21273.923242143297,11075.321005398408
17,246,21923.459363703325,11075.321005398408
18,25,22572.995485263353,11075.321005398408
19,37,23222.53160682338,11075.321005398408
20,84,24521.603849943436,11075.321005398408
21,99,25171.139971503464,11075.321005398408
22,70,25820.676093063492,11075.321005398408
23,12,26470.21221462352,11075.321005398408
24,11,27119.748336183548,11075.321005398408
25,24,28418.820579303603,11075.321005398408
26,189,29068.35670086363,11075.321005398408
27,2,18675.778755903302,10425.784883838147
28,264,19325.31487746333,10425.784883838147
29,41,19974.850999023358,10425.784883838147
30,5,20624.387120583386,10425.784883838147
31,9,22572.995485263353,10425.784883838147
32,29,23222.53160682338,10425.784883838147
33,31,23872.06772838341,10425.784883838147
34,67,24521.603849943436,10425.784883838147
35,28,25820.676093063492,10425.784883838147
36,539,26470.21221462352,10425.784883838147
37,72,27119.748336183548,10425.784883838147
38,141,28418.820579303603,10425.784883838147
39,408,29068.35670086363,10425.784883838147
40,108,13479.48978342308,9776.248762277886
41,509,14129.025904983107,9776.248762277886
42,330,14778.562026543135,9776.248762277886
43,503,15428.098148103163,9776.248762277886
44,237,16077.634269663191,9776.248762277886
45,182,16727.17039122322,9776.248762277886
46,24,17376.706512783247,9776.248762277886
47,640,18026.242634343274,9776.248762277886
48,400,18675.778755903302,9776.248762277886
49,10,19325.31487746333,9776.248762277886
50,17,19974.850999023358,9776.248762277886
51,64,22572.995485263353,9776.248762277886
52,345,23222.53160682338,9776.248762277886
53,224,23872.06772838341,9776.248762277886
54,85,24521.603849943436,9776.248762277886
55,9,25171.139971503464,9776.248762277886
56,64,26470.21221462352,9776.248762277886
57,31,27119.748336183548,9776.248762277886
58,77,27769.284457743575,9776.248762277886
59,134,28418.820579303603,9776.248762277886
60,77,29068.35670086363,9776.248762277886
61,588,13479.48978342308,9126.712640717626
62,730,14129.025904983107,9126.712640717626
63,403,14778.562026543135,9126.712640717626
64,153,15428.098148103163,9126.712640717626
65,285,16077.634269663191,9126.712640717626
66,378,18026.242634343274,9126.712640717626
67,28,18675.778755903302,9126.712640717626
68,188,21923.459363703325,9126.712640717626
69,176,22572.995485263353,9126.712640717626
70,236,24521.603849943436,9126.712640717626
71,186,25171.139971503464,9126.712640717626
72,4,25820.676093063492,9126.712640717626
73,296,26470.21221462352,9126.712640717626
74,175,27119.748336183548,9126.712640717626
75,39,27769.284457743575,9126.712640717626
76,7,12180.41754030314,8477.176519157365
77,15,12829.953661863052,8477.176519157365
78,623,13479.48978342308,8477.176519157365
79,146,14129.025904983107,8477.176519157365
80,51,14778.562026543135,8477.176519157365
81,901,15428.098148103163,8477.176519157365
82,955,16077.634269663191,8477.176519157365
83,16,16727.17039122322,8477.176519157365
84,251,18026.242634343274,8477.176519157365
85,79,19325.31487746333,8477.176519157365
86,7,20624.387120583386,8477.176519157365
87,71,21273.923242143297,8477.176519157365
88,166,21923.459363703325,8477.176519157365
89,23,24521.603849943436,8477.176519157365
90,67,25171.139971503464,8477.176519157365
91,37,25820.676093063492,8477.176519157365
92,33,29068.35670086363,8477.176519157365
