Group,Population,X,Y
1,105,-164723.4397412904,101099.34199391305
2,28,-164179.3269971818,101099.34199391305
3,11,-167444.00346183364,100555.22924980335
4,152,-165267.55248539906,100555.22924980335
5,56,-164723.4397412904,100555.22924980335
6,35,-164179.3269971818,100555.22924980335
7,104,-163635.21425307315,100555.22924980335
8,39,-163091.1015089645,100555.22924980335
9,17,-170164.5671823768,100011.1165056955
10,137,-169620.45443826815,100011.1165056955
11,44,-169076.34169415955,100011.1165056955
12,21,-167444.00346183364,100011.1165056955
13,58,-166899.89071772498,100011.1165056955
14,40,-166355.77797361632,100011.1165056955
15,171,-165811.66522950772,100011.1165056955
16,235,-165267.55248539906,100011.1165056955
17,87,-164723.4397412904,100011.1165056955
18,23,-164179.3269971818,100011.1165056955
19,44,-163635.21425307315,100011.1165056955
20,85,-163091.1015089645,100011.1165056955
21,228,-162546.98876485584,100011.1165056955
22,15,-162002.87602074724,100011.1165056955
23,62,-171252.79267059406,99467.00376158766
24,157,-170708.67992648546,99467.00376158766
25,259,-170164.5671823768,99467.00376158766
26,122,-169620.45443826815,99467.00376158766
27,82,-165267.55248539906,99467.00376158766
28,62,-164723.4397412904,99467.00376158766
29,39,-164179.3269971818,99467.00376158766
30,109,-163635.21425307315,99467.00376158766
31,58,-162002.87602074724,99467.00376158766
32,36,-161458.76327663858,99467.00376158766
33,160,-171252.79267059406,98922.89101747796
34,83,-170708.67992648546,98922.89101747796
35,49,-170164.5671823768,98922.89101747796
36,51,-169620.45443826815,98922.89101747796
37,22,-169076.34169415955,98922.89101747796
38,25,-164723.4397412904,98922.89101747796
39,31,-164179.3269971818,98922.89101747796
40,13,-163635.21425307315,98922.89101747796
41,95,-161458.76327663858,98922.89101747796
42,42,-171796.90541470272,98378.77827337012
43,179,-171252.79267059406,98378.77827337012
44,55,-170708.67992648546,98378.77827337012
45,15,-170164.5671823768,98378.77827337012
46,14,-164723.4397412904,98378.77827337012
47,35,-175605.6946234632,97834.66552926041
48,124,-175061.58187935455,97834.66552926041
49,67,-174517.4691352459,97834.66552926041
50,143,-173973.3563911373,97834.66552926041
51,25,-173429.24364702863,97834.66552926041
52,91,-172885.13090291998,97834.66552926041
53,124,-172341.01815881138,97834.66552926041
54,45,-171796.90541470272,97834.66552926041
55,122,-171252.79267059406,97834.66552926041
56,24,-170164.5671823768,97834.66552926041
57,28,-169076.34169415955,97834.66552926041
58,36,-176149.8073675718,97290.55278515257
59,84,-175605.6946234632,97290.55278515257
60,56,-175061.58187935455,97290.55278515257
61,64,-174517.4691352459,97290.55278515257
62,76,-172885.13090291998,97290.55278515257
63,137,-172341.01815881138,97290.55278515257
64,68,-171796.90541470272,97290.55278515257
65,134,-171252.79267059406,97290.55278515257
66,174,-170164.5671823768,97290.55278515257
67,29,-169620.45443826815,97290.55278515257
68,19,-169076.34169415955,97290.55278515257
69,17,-160914.65053252992,97290.55278515257
70,79,-160370.53778842132,97290.55278515257
71,18,-176693.92011168046,96746.44004104286
72,30,-176149.8073675718,96746.44004104286
73,55,-172885.13090291998,96746.44004104286
74,32,-171252.79267059406,96746.44004104286
75,48,-160370.53778842132,96746.44004104286
76,27,-177782.14559989778,96202.32729693502
77,52,-177238.03285578912,95658.21455282718
78,70,-177238.03285578912,95114.10180871747
79,21,-159826.42504431267,95114.10180871747
80,22,-210973.0229905247,94569.98906460963
81,87,-177238.03285578912,94569.98906460963
82,110,-159826.42504431267,94569.98906460963
83,80,-159282.312300204,94569.98906460963
84,125,-158738.1995560954,94569.98906460963
85,127,-211517.13573463337,94025.87632049993
86,11,-210973.0229905247,94025.87632049993
87,35,-209340.6847581988,94025.87632049993
88,13,-177238.03285578912,94025.87632049993
89,75,-158738.1995560954,94025.87632049993
90,15,-158194.08681198675,94025.87632049993
91,26,-212061.24847874197,93481.76357639208
92,47,-209340.6847581988,93481.76357639208
93,58,-198458.429876026,93481.76357639208
94,14,-197914.3171319174,93481.76357639208
95,16,-195193.75341137417,93481.76357639208
96,95,-158738.1995560954,93481.76357639208
97,12,-158194.08681198675,93481.76357639208
98,14,-209884.79750230745,92937.65083228238
99,16,-199002.54262013466,92937.65083228238
100,78,-198458.429876026,92937.65083228238
101,57,-197914.3171319174,92937.65083228238
102,40,-197370.20438780874,92937.65083228238
103,22,-196826.09164370009,92937.65083228238
104,27,-194649.64066726557,92937.65083228238
105,13,-158194.08681198675,92937.65083228238
106,50,-157649.9740678781,92937.65083228238
107,16,-157105.8613237695,92937.65083228238
108,15,-209884.79750230745,92393.53808817454
109,32,-208252.45926998154,92393.53808817454
110,21,-204987.78280532965,92393.53808817454
111,56,-201723.10634067783,92393.53808817454
112,219,-201178.99359656923,92393.53808817454
113,161,-200634.88085246057,92393.53808817454
114,45,-200090.7681083519,92393.53808817454
115,71,-199546.6553642433,92393.53808817454
116,73,-199002.54262013466,92393.53808817454
117,11,-198458.429876026,92393.53808817454
118,16,-197914.3171319174,92393.53808817454
119,25,-197370.20438780874,92393.53808817454
120,242,-196826.09164370009,92393.53808817454
121,16,-196281.9788995915,92393.53808817454
122,54,-195737.86615548283,92393.53808817454
123,119,-195193.75341137417,92393.53808817454
124,99,-194649.64066726557,92393.53808817454
125,19,-194105.52792315691,92393.53808817454
126,41,-159282.312300204,92393.53808817454
127,37,-157105.8613237695,92393.53808817454
128,60,-156561.74857966084,92393.53808817454
129,47,-156017.63583555218,92393.53808817454
130,38,-155473.52309144358,92393.53808817454
131,30,-208252.45926998154,91849.4253440667
132,26,-207708.34652587288,91849.4253440667
133,27,-204987.78280532965,91849.4253440667
134,73,-202811.33182889514,91849.4253440667
135,48,-202267.21908478648,91849.4253440667
136,111,-201723.10634067783,91849.4253440667
137,54,-201178.99359656923,91849.4253440667
138,47,-200634.88085246057,91849.4253440667
139,57,-197370.20438780874,91849.4253440667
140,17,-195737.86615548283,91849.4253440667
141,222,-195193.75341137417,91849.4253440667
142,174,-194649.64066726557,91849.4253440667
143,30,-194105.52792315691,91849.4253440667
144,279,-159282.312300204,91849.4253440667
145,13,-158738.1995560954,91849.4253440667
146,60,-207708.34652587288,91305.31259995699
147,40,-207164.23378176423,91305.31259995699
148,21,-206076.00829354697,91305.31259995699
149,42,-205531.8955494383,91305.31259995699
150,23,-204987.78280532965,91305.31259995699
151,10,-204443.67006122106,91305.31259995699
152,17,-203899.5573171124,91305.31259995699
153,30,-203355.44457300374,91305.31259995699
154,96,-202267.21908478648,91305.31259995699
155,15,-197370.20438780874,91305.31259995699
156,50,-195193.75341137417,91305.31259995699
157,69,-194649.64066726557,91305.31259995699
158,64,-194105.52792315691,91305.31259995699
159,41,-159826.42504431267,91305.31259995699
160,110,-159282.312300204,91305.31259995699
161,30,-211517.13573463337,90761.19985584915
162,28,-207164.23378176423,90761.19985584915
163,63,-206620.12103765563,90761.19985584915
164,35,-205531.8955494383,90761.19985584915
165,52,-204443.67006122106,90761.19985584915
166,44,-203899.5573171124,90761.19985584915
167,28,-203355.44457300374,90761.19985584915
168,55,-194105.52792315691,90761.19985584915
169,14,-182135.04755276686,90761.19985584915
170,60,-159826.42504431267,90761.19985584915
171,26,-153841.18485911767,90761.19985584915
172,10,-211517.13573463337,90217.08711173944
173,44,-210973.0229905247,90217.08711173944
174,25,-210428.91024641605,90217.08711173944
175,35,-209884.79750230745,90217.08711173944
176,16,-206620.12103765563,90217.08711173944
177,66,-206076.00829354697,90217.08711173944
178,99,-205531.8955494383,90217.08711173944
179,114,-204987.78280532965,90217.08711173944
180,30,-204443.67006122106,90217.08711173944
181,37,-203355.44457300374,90217.08711173944
182,25,-193561.41517904826,90217.08711173944
183,35,-184311.49852920143,90217.08711173944
184,22,-183767.38578509277,90217.08711173944
185,22,-182679.16029687552,90217.08711173944
186,109,-182135.04755276686,90217.08711173944
187,13,-159826.42504431267,90217.08711173944
188,10,-210428.91024641605,89672.9743676316
189,40,-209884.79750230745,89672.9743676316
190,52,-209340.6847581988,89672.9743676316
191,42,-208796.57201409014,89672.9743676316
192,41,-206076.00829354697,89672.9743676316
193,58,-205531.8955494383,89672.9743676316
194,16,-204987.78280532965,89672.9743676316
195,21,-204443.67006122106,89672.9743676316
196,33,-183223.27304098412,89672.9743676316
197,99,-182679.16029687552,89672.9743676316
198,49,-182135.04755276686,89672.9743676316
199,13,-209884.79750230745,89128.8616235219
200,11,-209340.6847581988,89128.8616235219
201,40,-208796.57201409014,89128.8616235219
202,14,-208252.45926998154,89128.8616235219
203,74,-205531.8955494383,89128.8616235219
204,19,-159282.312300204,89128.8616235219
205,31,-208252.45926998154,88584.74887941405
206,20,-207164.23378176423,88584.74887941405
207,16,-206076.00829354697,88584.74887941405
208,29,-205531.8955494383,88584.74887941405
209,26,-204987.78280532965,88584.74887941405
210,29,-204443.67006122106,88584.74887941405
211,22,-208252.45926998154,88040.63613530621
212,20,-207708.34652587288,88040.63613530621
213,32,-206076.00829354697,88040.63613530621
214,11,-151664.7338826831,88040.63613530621
215,27,-208252.45926998154,87496.5233911965
216,43,-206076.00829354697,87496.5233911965
