X,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299
1,0,1,4,9,11,18,1,1,1,2,5,1,1,2,3,3,5,5,8,2,2,2,2,3,3,8,14,2,7,8,3,4,8,10,15,3,3,4,5,10,11,4,4,4,4,8,10,13,4,5,5,7,8,5,5,5,5,5,8,8,9,10,11,12,22,6,6,8,14,6,8,8,9,12,7,9,10,13,13,14,14,16,17,7,8,14,14,15,15,16,16,9,10,11,12,15,10,11,11,13,15,17,9,11,12,10,11,12,12,14,15,10,10,12,15,11,19,11,11,14,15,17,20,13,14,15,15,15,21,12,13,15,18,19,14,15,16,16,18,18,16,26,17,19,23,16,18,18,19,15,20,20,16,17,19,19,19,20,21,16,17,17,17,18,20,20,24,17,17,17,18,19,20,23,25,26,17,17,18,18,19,20,24,24,25,18,18,18,18,18,18,19,24,25,25,25,26,26,27,27,18,18,18,18,18,19,20,21,25,25,26,27,27,19,19,19,19,19,19,26,27,27,28,19,19,19,19,22,22,22,26,26,27,27,28,20,20,20,21,23,26,28,28,29,30,20,21,25,26,27,30,21,21,21,21,22,24,24,26,26,27,28,28,31,23,23,24,27,29,31,22,22,22,22,22,24,24,25,25,25,26,23,23,23,24,24,25,25,26,26,31,23,24,24,25,25,25,26,28
2,1,0,3,8,10,17,1,1,1,1,4,2,1,1,2,2,3,4,7,2,2,2,2,2,2,7,13,2,6,7,3,3,7,9,14,4,3,3,4,9,10,4,4,4,4,7,9,12,5,4,5,7,7,5,5,5,5,5,7,7,8,9,10,11,21,6,6,7,13,6,7,7,8,11,7,8,9,12,12,13,13,15,16,7,7,13,13,14,14,15,15,9,9,10,11,14,10,10,10,12,14,16,9,10,12,9,10,11,12,14,14,10,10,11,14,10,18,11,11,13,14,16,19,12,14,14,14,15,20,12,13,14,17,18,13,14,15,15,17,18,15,25,16,18,22,15,17,18,18,15,19,20,15,16,18,18,19,19,20,16,16,17,17,18,19,20,23,16,17,17,17,18,19,23,24,25,17,17,18,18,19,20,23,23,25,18,18,18,18,18,18,18,23,24,24,25,25,26,26,26,18,18,18,18,18,18,19,21,24,25,25,26,26,19,19,19,19,19,19,26,26,26,28,19,19,19,19,21,21,22,25,26,26,26,28,20,20,20,21,23,25,27,28,28,29,20,21,24,25,27,29,21,21,21,21,22,23,24,25,26,27,27,27,30,23,23,24,26,28,30,22,22,22,22,22,24,24,24,24,25,25,23,23,23,24,24,24,24,25,26,30,23,23,24,25,25,25,25,27
3,4,3,0,5,7,14,4,4,3,3,1,5,4,3,2,2,1,1,4,5,5,4,3,3,2,4,9,4,4,4,5,4,4,6,11,6,6,4,3,6,7,6,5,5,5,5,6,9,7,6,5,5,5,7,7,6,6,5,5,5,6,7,7,8,18,7,7,6,10,7,6,6,6,9,7,7,7,9,10,10,11,12,13,7,7,10,11,11,11,12,13,8,8,8,9,11,8,9,9,10,12,13,9,9,10,10,9,10,10,11,12,10,10,10,12,11,16,12,11,12,13,14,17,12,12,12,13,13,17,12,12,13,15,16,13,13,14,14,15,15,14,22,15,16,19,14,16,16,16,15,17,18,15,15,17,17,17,17,18,16,16,16,16,17,18,18,21,17,17,17,17,17,18,20,21,23,17,17,17,17,18,18,21,21,22,18,18,18,18,18,18,18,21,22,22,22,23,23,24,24,18,18,18,18,18,18,18,19,22,22,23,24,24,19,19,19,19,19,19,24,24,24,25,20,20,19,19,20,20,20,23,24,24,24,25,20,20,20,20,21,23,25,25,26,27,21,20,22,23,25,27,21,21,21,21,21,22,22,24,24,25,25,25,28,22,22,22,24,26,28,22,22,22,22,22,23,23,23,23,23,24,23,23,23,23,23,23,23,24,24,28,23,23,23,24,24,24,24,26
4,9,8,5,0,2,9,9,9,8,8,4,9,9,8,7,6,5,5,2,10,9,9,8,7,7,2,5,9,3,3,9,8,4,3,6,10,10,8,6,3,3,10,10,9,9,4,4,5,11,9,8,6,5,11,11,10,9,9,6,6,5,5,5,5,13,11,10,6,6,10,7,7,7,6,10,8,7,7,7,7,7,8,9,10,10,7,8,8,8,9,9,9,8,8,8,8,9,9,9,8,9,10,11,9,9,12,10,9,9,9,10,12,12,10,10,13,12,14,13,11,11,12,13,12,12,12,12,12,14,14,13,12,13,13,13,13,13,13,13,13,13,18,14,14,16,15,14,14,15,16,15,15,17,16,15,15,16,16,16,17,17,16,16,16,16,16,18,18,18,17,17,16,17,18,19,20,18,18,17,17,17,17,18,19,19,19,19,19,19,18,18,18,19,19,19,20,20,20,21,21,20,20,20,19,19,19,18,18,20,20,20,21,21,21,20,20,20,20,19,21,21,21,22,21,21,21,20,19,19,19,21,21,21,22,22,22,21,21,20,20,21,22,23,23,24,23,21,21,21,22,24,22,22,22,21,21,21,21,22,22,22,23,23,25,21,21,22,22,24,25,23,23,23,23,23,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,25,25,24,23,23,23,23,23,24
5,11,10,7,2,0,7,11,10,10,9,6,11,11,10,8,8,7,6,3,12,11,11,9,9,8,3,3,11,4,4,11,9,5,3,5,12,11,10,8,4,3,12,11,11,10,5,4,4,12,11,10,7,6,13,12,11,11,10,7,7,6,5,5,5,12,13,12,7,6,11,9,8,8,6,11,9,8,7,7,7,7,7,8,11,11,7,7,7,7,8,8,9,9,9,8,8,10,9,9,8,8,9,12,10,9,13,11,10,10,9,9,13,13,11,10,14,12,16,14,11,11,11,13,13,12,12,12,12,13,15,14,12,12,13,14,13,13,13,13,13,13,17,14,14,15,15,14,14,14,17,15,15,17,16,15,15,15,15,16,18,17,17,17,16,16,16,17,19,19,17,17,17,16,17,18,19,19,19,18,18,17,17,18,18,19,20,20,19,19,19,18,18,18,19,19,19,19,20,20,20,21,20,20,20,20,19,19,18,19,19,20,20,20,21,21,21,20,20,20,20,20,21,21,22,22,21,21,19,19,19,20,21,21,21,22,22,22,21,20,20,21,21,22,22,23,23,21,21,21,22,23,23,22,22,22,21,21,21,21,21,22,22,22,24,22,22,21,22,23,24,24,23,23,23,23,22,22,22,22,22,22,24,23,23,23,23,23,23,23,23,25,25,24,24,23,23,23,23,24
6,18,17,14,9,7,0,18,18,17,17,13,18,18,17,15,15,14,13,10,19,18,18,17,16,15,10,5,18,11,11,18,16,11,9,4,19,18,17,15,9,8,19,18,17,17,12,10,7,19,18,17,13,12,19,19,18,17,17,13,13,12,11,10,9,6,19,18,13,8,18,15,14,14,10,18,14,13,10,9,9,9,8,7,17,17,10,9,9,9,8,8,15,14,13,12,9,15,14,14,12,10,9,18,15,13,18,16,14,14,12,11,19,18,16,12,20,11,21,20,14,13,12,11,17,15,15,15,14,12,20,18,15,13,13,18,17,15,15,14,14,16,14,16,15,14,18,16,16,16,21,16,15,22,20,17,17,17,16,16,22,21,20,20,18,17,17,16,24,23,21,20,19,18,17,16,17,23,23,21,21,19,18,17,17,17,24,24,23,23,22,22,21,18,18,18,18,18,18,18,18,25,25,24,24,23,23,21,20,18,18,18,18,18,26,25,25,24,24,23,19,19,19,19,26,26,25,25,21,21,21,19,19,19,19,19,26,25,25,22,21,20,20,20,20,20,28,24,21,21,20,21,26,26,26,25,24,22,22,21,21,21,21,21,21,23,23,23,22,21,22,27,27,27,26,26,23,23,23,23,23,22,27,26,26,24,24,24,24,23,23,23,29,27,26,25,25,24,24,23
7,1,1,4,9,11,18,0,1,1,2,5,1,1,1,3,3,4,5,8,1,1,1,2,2,3,8,14,2,7,8,2,3,7,10,15,3,3,3,5,10,11,3,3,3,4,8,9,13,4,4,4,7,8,4,4,5,5,5,7,8,8,10,11,11,22,5,5,8,14,6,7,8,8,12,6,8,9,13,13,14,14,16,17,7,7,13,14,14,15,16,16,9,9,10,11,15,10,10,11,13,15,16,9,10,12,9,10,12,12,14,15,10,10,11,14,10,19,10,11,14,15,17,20,12,14,14,14,15,20,12,13,15,18,18,13,14,15,16,17,18,15,25,16,19,22,15,18,18,18,15,19,20,15,16,18,18,19,20,21,16,16,17,17,18,20,20,23,16,16,17,17,18,19,23,24,26,17,17,17,18,19,20,23,24,25,17,17,17,17,18,18,18,24,24,25,25,25,26,27,27,18,18,18,18,18,18,19,21,25,25,26,26,27,18,18,18,18,18,19,26,26,27,28,19,19,19,19,21,21,22,25,26,26,27,28,19,19,19,21,23,25,27,28,28,30,20,20,24,25,27,29,20,21,21,21,22,23,24,26,26,27,27,28,30,23,23,24,26,28,30,22,22,22,22,22,24,24,24,24,25,25,22,23,23,24,24,24,24,25,26,30,23,23,23,24,25,25,25,28
8,1,1,4,9,10,18,1,0,1,1,4,1,1,1,2,3,4,4,8,2,1,1,2,2,2,8,13,2,7,7,2,3,7,10,14,3,3,3,4,9,10,3,3,3,3,7,9,13,4,4,4,7,8,5,4,4,5,5,7,7,8,9,10,11,21,5,5,7,13,6,7,7,8,11,6,8,9,12,13,13,14,15,16,7,7,13,13,14,14,15,16,9,9,10,11,14,9,10,10,12,14,16,9,10,12,9,10,11,12,14,14,9,10,11,14,10,18,10,11,13,14,16,20,12,13,14,14,14,20,12,12,14,17,18,13,14,15,15,17,18,15,25,16,18,22,15,17,18,18,15,19,19,15,16,18,18,18,19,20,16,16,16,17,18,19,20,23,16,16,17,17,18,19,23,24,25,17,17,17,17,19,20,23,23,25,17,17,17,17,17,18,18,23,24,24,25,25,26,26,27,18,18,18,18,18,18,19,20,24,25,25,26,26,18,18,18,18,18,19,26,26,26,28,19,19,19,19,21,21,21,25,26,26,26,28,19,19,19,21,23,25,27,28,28,29,20,20,24,25,26,29,20,20,21,21,21,23,24,25,26,27,27,27,30,22,23,23,26,28,30,22,22,22,22,22,23,24,24,24,24,25,22,23,23,23,24,24,24,25,26,30,23,23,23,24,24,25,25,27
9,1,1,3,8,10,17,1,1,0,1,4,1,1,1,2,2,3,4,7,2,2,1,1,2,2,7,13,2,6,7,2,2,6,9,14,3,3,3,4,9,10,3,3,3,3,7,8,12,4,4,4,6,7,5,5,4,4,5,7,7,7,9,10,10,21,5,5,7,13,6,7,7,7,11,6,7,9,12,12,13,13,15,16,7,7,12,13,13,14,15,15,8,9,9,11,14,9,9,10,12,14,15,8,10,11,9,10,11,11,13,14,9,9,11,14,10,18,11,10,13,14,16,19,12,13,13,14,14,19,12,12,14,17,18,13,14,15,15,16,17,15,24,16,18,22,15,17,17,18,14,18,19,15,16,18,18,18,19,20,15,16,16,16,17,19,19,23,16,16,17,17,18,19,22,23,25,17,17,17,17,18,19,23,23,24,17,17,17,17,17,18,18,23,23,24,24,25,25,26,26,18,18,18,18,18,18,19,20,24,24,25,26,26,18,18,18,18,18,19,25,26,26,27,19,19,19,19,21,21,21,25,25,26,26,27,19,19,19,20,22,25,26,27,28,29,20,20,23,24,26,28,20,20,20,21,21,23,23,25,25,26,27,27,30,22,22,23,26,28,30,21,22,22,22,22,23,23,24,24,24,25,22,22,23,23,23,24,24,25,25,30,23,23,23,24,24,24,25,27
10,2,1,3,8,9,17,2,1,1,0,3,2,1,1,1,2,3,3,7,2,2,2,1,1,2,7,12,2,6,6,2,2,6,9,13,4,3,3,4,8,9,4,3,3,3,6,8,11,4,4,4,6,7,5,5,4,4,4,6,7,7,8,9,10,20,5,5,7,12,6,6,7,7,10,6,7,8,11,12,12,13,14,15,7,7,12,12,13,13,14,15,8,8,9,10,13,9,9,9,11,13,15,8,9,11,9,10,11,11,13,13,9,9,10,13,10,17,11,10,13,14,16,19,12,13,13,13,14,19,12,12,14,16,17,13,13,14,15,16,17,15,24,15,18,21,15,17,17,17,14,18,19,15,15,17,18,18,18,20,15,16,16,16,17,19,19,22,16,16,16,17,18,18,22,23,25,17,17,17,17,18,19,22,23,24,17,17,17,17,17,17,18,23,23,23,24,24,25,25,26,18,18,18,18,18,18,18,20,23,24,25,25,26,18,18,18,18,18,18,25,25,26,27,19,19,19,19,20,21,21,24,25,25,26,27,19,19,19,20,22,24,26,27,27,28,20,20,23,24,26,28,20,20,20,21,21,22,23,25,25,26,26,27,29,22,22,23,25,27,29,21,21,22,22,22,23,23,23,24,24,25,22,22,22,23,23,23,24,25,25,29,23,23,23,24,24,24,24,27
