X,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299
1,0,1,4,9,11,18,1,1,2,2,6,1,2,2,4,4,6,6,9,2,2,2,3,4,4,10,15,3,9,10,3,5,10,13,18,4,3,5,7,13,14,4,4,5,6,11,13,16,5,6,7,10,12,5,5,6,7,7,11,12,12,14,15,15,26,6,6,12,18,8,11,12,12,16,8,12,14,18,18,19,19,21,22,9,10,19,19,20,20,21,22,13,14,15,16,20,14,15,15,18,21,23,12,15,18,12,15,17,18,20,21,12,13,16,21,12,26,11,13,20,21,24,28,17,20,20,21,21,29,14,17,21,25,26,18,20,22,23,25,26,22,35,23,27,32,21,25,26,26,18,28,29,18,21,26,26,27,28,30,19,21,22,23,25,28,29,34,18,19,22,23,26,28,33,35,37,19,20,23,23,26,28,34,34,36,19,20,20,21,22,23,24,34,35,35,36,36,37,38,38,19,20,20,21,21,23,25,29,35,36,37,38,38,19,20,21,21,22,24,37,38,38,40,19,20,21,22,29,30,30,36,37,38,38,40,20,22,23,27,32,36,39,40,41,42,21,25,34,36,38,42,23,24,24,25,28,32,34,36,37,38,39,40,43,30,31,32,37,41,43,24,25,25,26,26,32,32,33,34,34,36,25,28,29,31,32,32,33,35,36,43,24,28,29,32,33,34,34,39
2,1,0,3,8,10,17,2,1,1,1,4,2,2,1,3,3,4,5,8,3,3,2,2,3,3,9,14,3,8,9,3,4,9,12,16,5,4,4,6,12,13,5,4,4,4,10,12,15,6,4,6,9,10,7,6,5,5,6,10,10,11,13,14,14,25,7,6,10,17,7,10,10,11,15,7,11,13,16,17,18,18,20,21,8,9,18,18,19,19,20,21,12,13,14,15,19,13,14,14,17,20,21,10,14,16,10,14,16,16,19,20,11,12,15,20,11,25,12,12,19,20,23,27,16,19,19,20,20,28,13,16,20,24,25,16,19,21,21,24,25,21,34,22,26,31,20,24,25,25,17,26,28,17,20,25,25,26,27,29,18,20,21,21,24,27,27,32,16,18,21,21,25,26,32,34,36,18,19,21,22,25,27,32,33,35,18,19,19,20,21,22,23,33,34,34,35,35,36,37,37,18,19,19,20,20,21,24,28,34,35,36,37,37,19,19,20,20,21,23,36,37,37,39,20,19,20,21,28,29,29,35,36,37,37,39,20,21,21,26,31,35,38,39,40,41,22,24,33,35,37,41,22,23,23,24,27,31,32,35,36,37,38,38,42,29,30,31,36,40,42,23,24,24,25,25,31,31,32,32,33,35,24,27,27,30,31,31,32,34,35,42,23,27,27,31,32,32,33,38
3,4,3,0,5,7,14,5,4,4,3,1,6,5,4,3,2,1,2,5,7,6,6,4,4,3,6,11,6,5,6,7,5,6,8,13,8,8,6,4,8,9,8,8,7,7,7,8,12,9,8,7,6,7,10,9,8,8,7,7,7,8,9,10,11,22,10,9,7,14,9,7,7,8,12,9,8,9,13,14,14,15,16,18,9,9,14,15,15,16,17,18,9,9,10,12,16,10,10,11,14,16,18,10,10,13,12,10,13,13,16,16,12,12,12,16,13,22,15,14,15,17,20,24,13,15,16,16,17,24,14,13,16,21,22,13,15,18,18,20,21,18,31,19,23,28,16,21,21,22,16,23,24,17,17,21,22,23,24,25,18,16,18,18,21,24,24,29,20,19,18,18,21,23,29,30,32,19,19,18,19,22,24,29,30,31,20,20,19,19,18,19,20,30,30,31,31,32,33,34,34,21,21,20,20,19,18,21,25,31,31,32,34,34,23,21,21,20,20,19,33,34,34,36,24,23,22,21,25,25,26,32,33,34,34,36,24,22,21,23,28,32,35,36,36,38,25,21,30,31,34,37,23,23,22,21,24,28,29,32,32,34,35,35,39,26,26,28,33,36,39,24,24,23,23,22,27,28,29,29,30,31,24,24,24,27,27,28,29,31,32,39,26,24,24,28,29,29,30,35
4,9,8,5,0,2,9,10,9,9,8,5,10,10,9,8,7,6,6,2,12,11,10,9,9,8,3,6,11,4,4,12,10,5,3,8,13,13,11,9,3,4,13,13,12,12,6,4,7,14,13,12,8,7,15,14,13,13,12,8,8,7,5,6,6,17,15,14,9,9,14,10,10,9,7,14,10,9,8,9,9,10,12,13,14,14,9,10,10,11,12,13,12,11,10,8,11,12,11,10,9,12,13,15,12,9,16,13,11,10,11,12,17,16,13,12,18,17,20,19,12,12,15,19,15,13,12,12,12,19,19,16,13,16,17,17,15,13,13,15,16,14,26,14,18,23,17,16,16,17,21,18,19,22,19,16,17,18,19,20,23,20,19,19,16,19,19,24,25,24,20,20,16,18,24,25,28,24,24,21,20,17,19,24,25,26,25,25,24,24,23,21,20,25,25,26,26,27,28,29,29,26,26,25,25,24,23,20,20,26,26,27,29,29,28,26,26,25,25,23,28,29,29,31,29,28,27,26,20,20,21,27,28,29,29,31,29,27,26,21,23,27,30,31,31,33,30,25,25,26,29,32,28,28,27,26,23,23,24,27,27,29,30,30,34,22,21,23,28,31,34,29,29,28,27,27,23,23,24,24,25,26,29,26,26,23,23,23,24,26,27,34,31,27,27,23,24,24,25,30
5,11,10,7,2,0,7,12,11,10,10,7,12,12,11,9,9,8,7,4,13,13,12,11,10,10,4,4,13,6,6,13,12,7,4,7,15,14,13,10,5,4,15,14,14,13,8,6,6,16,14,13,9,8,16,16,15,14,14,10,9,9,7,6,6,15,17,16,10,7,15,12,12,11,7,16,12,10,7,7,8,8,10,11,16,15,8,8,9,9,10,11,13,13,12,10,9,13,13,12,9,10,12,17,14,11,18,15,13,12,9,10,19,18,15,10,20,15,22,20,13,12,13,17,17,14,14,13,13,18,21,18,14,14,15,19,16,14,14,14,15,15,24,15,16,21,19,14,15,15,23,16,18,24,20,16,15,16,17,19,24,22,21,20,18,17,18,23,26,25,22,21,18,16,22,24,26,26,25,23,22,19,17,23,23,25,27,26,26,25,24,23,22,23,24,24,25,25,26,27,27,28,28,27,26,26,25,22,18,24,25,26,27,28,29,28,28,27,26,25,26,27,28,29,30,29,29,28,20,20,19,25,26,27,28,29,30,29,28,23,21,25,28,29,30,31,32,26,23,25,28,31,30,29,29,28,25,21,23,25,26,28,28,29,32,24,23,21,26,30,32,31,30,30,29,29,23,23,22,23,23,25,31,28,27,25,24,24,23,24,25,32,33,29,29,25,24,24,23,28
6,18,17,14,9,7,0,19,18,18,17,14,19,19,18,16,16,15,14,11,20,20,19,18,18,17,12,6,20,13,13,20,19,14,11,6,22,21,20,18,12,11,22,21,21,20,15,13,9,23,21,20,17,15,24,23,22,21,21,17,16,16,14,13,13,8,24,23,18,11,23,19,19,18,14,23,19,18,14,13,13,12,10,9,23,23,14,13,13,12,11,10,20,20,19,17,13,20,20,19,16,14,12,24,21,18,25,22,20,19,16,16,26,25,22,17,27,13,29,28,20,19,16,12,24,21,21,20,20,13,28,25,21,17,16,26,24,21,21,19,18,23,17,23,19,14,26,21,21,20,30,20,19,31,28,23,23,22,21,19,31,29,28,28,25,22,21,16,34,32,29,29,25,24,18,16,19,33,32,30,29,26,24,19,18,18,34,34,33,32,31,30,29,19,19,18,18,18,19,20,20,35,35,34,34,33,32,29,25,19,19,19,20,20,36,35,35,34,34,32,19,20,20,22,37,36,36,35,28,27,26,20,19,20,20,22,37,36,35,30,25,21,21,22,23,24,39,34,25,23,20,24,37,36,36,35,32,28,26,24,23,21,21,21,25,31,30,29,24,23,25,38,37,37,36,36,30,30,29,29,28,26,38,35,35,32,31,31,30,28,27,25,40,36,36,32,31,31,30,25
7,1,2,5,10,12,19,0,1,1,2,5,1,1,2,3,4,5,6,9,2,1,2,3,3,4,9,15,2,9,9,3,4,9,12,17,3,3,4,7,12,13,3,4,4,5,10,12,16,4,5,6,10,11,5,4,5,6,7,10,11,12,13,14,15,26,5,5,11,18,7,10,11,12,16,8,12,13,17,18,18,19,20,21,9,9,18,19,19,20,21,21,13,13,14,16,20,14,14,15,18,20,22,11,14,17,11,14,16,17,20,20,12,12,15,20,12,26,10,12,19,21,24,27,16,19,20,20,21,28,14,16,20,25,26,17,19,21,22,24,25,21,35,23,26,31,20,25,25,26,18,27,28,18,21,25,26,26,27,29,18,20,21,22,25,27,28,33,17,18,21,22,25,27,32,34,36,19,19,22,23,26,27,33,34,35,19,19,20,20,21,23,24,34,34,35,35,36,37,37,38,19,19,20,20,21,22,25,29,35,35,36,37,38,19,20,20,21,21,23,37,37,38,40,19,20,20,21,29,29,30,36,37,37,38,40,20,21,22,27,32,36,38,40,40,42,20,25,34,35,38,41,23,23,24,25,27,31,33,36,36,38,38,39,43,30,30,32,37,40,43,24,24,25,25,26,31,32,32,33,34,35,25,27,28,31,31,32,32,35,36,43,24,27,28,32,32,33,34,38
8,1,1,4,9,11,18,1,0,1,1,4,1,1,1,3,3,4,5,8,2,2,1,2,3,3,9,14,2,8,9,2,4,9,12,16,4,3,4,6,12,13,4,3,4,4,10,12,15,5,4,6,9,10,5,5,5,5,6,10,10,11,13,14,14,25,6,5,10,17,7,10,10,11,15,7,11,13,16,17,18,18,20,21,8,9,18,18,19,19,20,21,12,13,14,15,19,13,14,14,17,20,21,10,14,16,10,14,16,16,19,20,11,12,15,20,11,25,11,12,19,20,23,27,16,19,19,20,20,27,13,16,20,24,25,16,19,21,21,24,25,21,34,22,26,31,20,24,25,25,17,26,28,17,20,25,25,26,27,29,18,20,21,21,24,27,27,32,16,18,21,21,25,26,32,34,36,18,19,21,22,25,27,32,33,35,18,19,19,20,21,22,23,33,34,34,35,35,36,37,37,18,19,19,20,20,21,24,28,34,35,36,37,37,18,19,20,20,21,23,36,37,37,39,19,19,20,21,28,29,29,35,36,37,37,39,19,21,21,26,31,35,38,39,40,41,21,24,33,35,37,41,22,23,23,24,27,31,32,35,36,37,38,38,42,29,30,31,36,40,42,23,24,24,25,25,31,31,32,32,33,35,24,27,27,30,31,31,32,34,35,42,23,27,27,31,32,32,33,38
9,2,1,4,9,10,18,1,1,0,1,4,2,1,1,2,3,4,4,8,3,2,2,2,2,3,8,14,2,8,8,3,3,8,11,16,4,4,3,6,11,12,4,4,3,4,9,11,15,6,4,5,9,10,6,5,4,5,5,9,10,10,12,13,14,25,7,5,10,16,6,9,10,10,15,7,10,12,16,16,17,18,19,20,8,8,17,18,18,19,20,20,12,12,13,15,19,13,13,14,16,19,21,10,13,16,10,13,15,16,19,19,10,11,14,19,10,25,12,11,18,20,23,26,15,18,19,19,20,27,13,15,19,24,25,16,18,20,21,23,24,20,34,21,25,30,19,24,24,25,16,26,27,16,20,24,25,25,26,28,17,19,20,21,24,26,27,32,16,17,20,21,24,26,31,33,35,18,18,21,21,25,26,32,32,34,18,18,19,19,20,21,23,32,33,34,34,35,36,36,37,18,18,19,19,20,21,24,27,34,34,35,36,37,19,19,19,20,20,22,36,36,37,38,20,19,19,20,27,28,29,35,36,36,37,38,20,20,21,26,31,35,37,38,39,41,21,24,32,34,37,40,21,22,23,24,26,30,32,35,35,37,37,38,42,29,29,31,36,39,42,23,23,24,24,25,30,31,31,32,32,34,24,26,27,30,30,31,31,34,35,42,23,26,27,31,31,32,32,37
10,2,1,3,8,10,17,2,1,1,0,3,2,2,1,2,2,3,4,7,3,3,2,1,2,2,8,13,3,7,8,3,3,8,10,15,5,4,3,5,10,12,5,4,4,3,9,10,14,6,4,4,8,9,7,6,5,4,5,9,9,10,12,13,13,24,7,6,9,16,6,9,9,10,14,6,10,12,15,16,16,17,19,20,7,8,16,17,18,18,19,20,11,12,13,14,18,12,13,13,16,19,20,9,13,15,9,13,15,15,18,19,10,10,14,19,10,24,12,10,18,19,22,26,15,18,18,19,19,26,12,15,19,23,24,15,18,20,20,23,24,20,33,21,25,30,19,23,24,24,16,25,26,16,19,24,24,25,26,27,16,19,20,20,23,26,26,31,16,16,20,20,24,25,31,32,35,17,18,20,21,24,26,31,32,34,17,18,18,19,20,21,22,32,32,33,34,34,35,36,36,18,18,18,19,19,20,23,27,33,34,35,36,36,19,18,19,19,20,21,35,36,36,38,20,19,19,20,27,27,28,34,35,36,36,38,20,20,20,25,30,34,37,38,38,40,22,23,32,34,36,40,21,21,22,23,26,30,31,34,35,36,37,37,41,28,29,30,35,38,41,22,23,23,24,24,30,30,31,31,32,34,23,26,26,29,30,30,31,33,34,41,23,26,26,30,31,31,32,37
