X,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299
1,0,1,9,6,8,9,11,13,14,2,2,5,7,8,11,12,16,2,5,7,8,9,4,5,7,11,12,14,5,6,10,11,11,18,3,9,10,14,16,18,4,5,12,13,14,16,5,7,10,12,13,14,15,16,17,5,9,14,15,16,8,11,11,12,13,14,15,16,17,8,12,13,13,15,16,16,17,19,13,13,15,16,18,13,13,15,15,16,20,13,14,14,15,15,16,17,17,18,20,11,14,16,17,17,20,12,13,14,15,16,17,17,18,18,9,9,9,14,15,17,17,18,10,10,10,16,16,17,18,19,20,17,18,18,19,19,11,11,17,18,18,19,19,20,20,21,22,12,12,12,13,16,16,19,19,20,23,12,12,12,13,16,19,20,20,21,21,13,15,18,19,20,20,21,21,13,13,13,13,15,15,16,16,17,18,19,19,21,21,14,16,20,21,14,14,15,17,17,17,18,21,21,22,23,15,15,16,16,17,17,20,22,23,15,15,15,16,16,16,16,16,17,18,18,18,20,21,22,22,16,16,16,16,17,17,22,23,25,17,17,17,17,18,18,24,25,18,18,19,19,20,23,24,26,19,20,20,20,21,22,23,24,25,26,27,19,23,24,24,25,25,26,20,23,24,25,25,25,21,22,25,25,26,21,23,22,23,24,24,22,22,22,23,23,23,23,24,25,25
2,1,0,9,5,7,8,10,13,14,3,2,4,7,8,11,12,15,2,4,7,7,9,4,5,7,10,11,14,5,5,10,10,11,18,3,9,10,13,15,17,4,5,11,12,13,16,5,7,9,12,13,14,15,15,16,5,9,13,14,16,8,10,11,11,12,14,15,15,16,8,11,12,13,15,15,16,16,18,12,13,15,15,18,12,13,14,15,15,19,12,13,14,14,15,16,16,17,17,19,11,13,16,16,17,19,12,13,13,15,15,16,17,17,18,10,9,9,14,15,16,17,17,10,10,10,16,16,16,18,19,19,17,17,18,18,19,11,11,17,18,18,18,19,19,20,20,22,12,12,12,13,15,16,18,19,19,23,12,12,12,12,16,19,19,20,20,21,13,15,18,19,19,20,20,21,13,13,13,13,15,15,16,16,17,18,18,19,20,21,14,16,20,21,14,14,14,17,17,17,18,20,21,21,22,15,15,16,16,17,17,20,21,23,15,15,15,16,16,16,16,16,17,17,18,18,20,21,21,22,16,16,16,16,16,17,22,23,25,17,17,17,17,18,18,23,25,18,18,18,19,20,22,24,26,19,19,20,20,21,21,23,24,25,25,27,19,23,24,24,24,25,25,20,23,24,24,25,25,21,21,24,25,26,21,23,21,23,23,24,22,22,22,23,23,23,23,24,24,25
3,9,9,0,4,2,1,2,4,5,12,11,5,2,2,2,3,7,8,5,3,2,2,6,5,3,2,3,5,6,5,3,3,3,9,9,3,3,5,7,9,9,7,4,5,5,8,9,6,4,5,6,6,7,7,8,9,5,6,7,8,6,6,6,6,6,7,7,8,9,7,6,6,6,7,8,8,9,10,7,7,8,8,10,7,7,8,8,9,11,8,8,8,8,9,9,9,10,10,12,9,8,9,10,10,12,9,9,9,9,10,10,10,11,11,14,14,13,9,10,10,11,11,14,14,14,10,11,11,12,12,13,11,12,12,12,12,16,14,12,12,12,13,13,13,13,14,15,16,16,16,12,12,12,13,13,13,16,16,14,14,14,12,13,14,14,14,15,15,13,13,14,14,14,15,15,17,16,16,15,13,13,13,13,13,14,14,14,15,15,18,14,15,15,17,17,16,14,14,14,14,15,16,16,17,18,16,15,15,15,15,15,16,17,18,17,17,17,16,16,16,16,16,15,15,15,16,16,17,17,19,19,18,17,17,17,17,17,19,18,18,18,18,18,17,18,19,18,18,18,18,18,18,19,20,19,18,18,18,18,18,19,19,20,20,21,19,19,19,20,20,20,20,20,20,20,20,20,21,20,20,21,21,22,21,21,23,21,21,21,24,23,23,22,22,24,23,23,23,23
4,6,5,4,0,2,3,5,8,9,8,7,1,2,3,6,7,10,4,2,2,2,4,2,2,2,5,6,9,2,2,5,5,6,13,6,4,5,8,10,12,6,4,6,7,8,11,5,4,5,7,8,9,10,11,11,5,5,8,9,11,5,6,7,7,8,9,10,11,12,6,7,8,8,10,10,11,11,13,8,9,10,11,13,8,9,10,10,11,14,8,9,10,10,11,11,12,12,13,15,8,9,11,12,12,15,9,9,10,11,11,12,12,13,13,11,11,10,10,11,12,12,13,11,11,11,12,12,12,14,14,15,13,13,14,14,14,13,11,13,14,14,14,15,15,16,16,17,13,13,13,11,12,13,14,15,15,18,14,12,12,12,13,15,15,16,16,17,13,12,14,15,15,16,16,17,14,14,14,13,13,13,13,13,14,15,15,15,16,17,15,14,16,17,15,14,14,14,14,14,15,17,17,18,18,16,15,14,14,15,15,16,18,19,16,15,15,15,15,15,15,15,15,15,15,15,17,17,18,18,17,17,16,16,15,15,18,19,21,17,16,16,16,17,16,20,21,17,17,17,17,17,19,20,22,18,18,18,18,18,19,20,20,21,22,23,18,20,20,21,21,21,22,19,20,21,21,21,22,19,20,21,22,23,20,21,21,21,21,21,22,22,22,22,22,22,22,22,22,23
5,8,7,2,2,0,1,3,6,7,10,9,3,1,1,3,4,8,6,3,1,1,2,4,3,2,3,4,7,4,4,3,4,4,11,8,3,4,6,8,10,7,6,5,6,6,9,7,4,4,5,6,7,8,9,9,7,4,7,7,9,5,5,5,6,6,7,8,9,10,6,6,6,7,8,9,9,9,11,7,7,9,9,11,7,7,8,9,9,12,7,8,8,9,9,10,10,11,11,13,8,8,10,10,11,13,8,9,9,9,10,11,11,11,12,13,12,12,9,10,11,11,11,13,12,12,11,11,11,12,13,13,12,12,12,13,13,14,12,12,12,13,13,13,14,14,14,16,15,14,14,11,11,12,13,13,14,17,15,13,13,12,12,14,14,14,15,15,13,12,13,14,14,15,15,15,15,15,15,14,13,13,13,13,13,14,14,14,15,15,16,13,15,16,16,15,15,14,14,14,14,15,16,16,17,17,15,14,14,14,14,15,17,17,17,16,16,16,15,15,15,15,15,15,15,15,16,16,17,17,18,17,17,16,16,16,17,18,19,17,17,17,17,17,17,19,20,17,17,17,17,17,18,19,21,18,18,18,18,18,18,19,19,20,20,22,18,19,20,20,20,20,21,19,19,20,20,20,21,19,19,21,21,22,21,20,22,21,21,21,23,22,22,21,21,23,22,22,22,22
6,9,8,1,3,1,0,2,4,5,11,10,4,2,1,2,3,7,7,5,2,2,1,5,4,2,2,3,6,5,4,2,3,3,10,9,3,3,5,7,9,8,6,4,5,6,8,8,5,4,5,5,6,7,8,8,8,5,6,7,8,6,5,5,5,6,7,7,8,9,6,6,6,6,7,8,8,9,10,6,7,8,8,10,7,7,8,8,9,11,7,8,8,8,8,9,9,10,10,12,8,8,9,9,10,12,8,8,8,9,9,10,10,11,11,14,13,12,9,9,10,10,11,14,13,13,10,10,11,11,12,12,11,11,12,12,12,15,13,11,12,12,12,13,13,13,14,15,16,15,15,11,11,11,13,13,13,16,16,13,13,13,12,13,13,14,14,15,14,12,13,13,14,14,14,15,16,15,15,14,13,13,13,13,13,13,13,14,15,15,17,13,15,15,17,16,15,14,14,14,14,15,15,16,16,18,16,14,14,14,14,15,16,17,18,17,16,16,16,15,15,15,15,15,15,15,15,16,16,16,19,18,17,17,16,16,17,17,19,18,17,17,17,17,17,18,19,17,17,17,17,17,18,19,20,18,18,18,18,18,18,19,19,19,20,21,18,19,19,19,20,20,20,19,19,19,20,20,20,19,19,20,20,21,21,20,22,21,21,21,23,22,22,22,21,23,22,22,22,22
7,11,10,2,5,3,2,0,2,3,13,13,7,4,3,1,1,5,9,7,4,3,2,7,6,4,2,2,4,7,6,2,2,2,7,11,4,3,4,5,7,10,8,3,3,4,6,10,6,4,4,4,5,5,6,6,10,5,5,5,6,7,5,5,5,5,5,6,6,7,8,6,6,6,6,6,7,7,9,6,6,7,7,9,7,7,7,7,7,10,7,7,7,7,7,8,8,8,9,10,9,8,8,8,9,11,9,8,8,8,9,9,9,9,10,15,15,14,9,9,9,9,10,15,15,14,9,10,10,10,11,11,10,10,11,11,11,17,14,11,11,11,11,12,12,12,12,13,17,17,16,12,11,11,12,12,12,14,17,15,14,14,12,12,12,13,13,13,15,12,12,13,13,13,13,14,18,17,16,15,13,13,13,13,13,13,13,13,14,14,18,13,14,14,18,17,16,14,14,14,14,14,14,15,15,19,17,15,15,15,14,14,15,16,19,18,18,17,16,16,16,16,15,15,15,15,15,15,15,16,20,19,19,17,17,17,16,16,17,19,18,18,18,18,17,17,18,18,18,18,17,17,17,18,19,18,18,18,18,18,18,18,18,19,19,20,19,18,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,21,21,20,23,21,21,21,24,23,23,22,22,24,23,22,22,22
8,13,13,4,8,6,4,2,0,1,15,15,9,6,5,2,1,3,12,9,6,6,4,9,8,6,3,2,2,9,9,4,4,3,5,13,5,4,3,4,5,13,10,4,3,3,4,12,8,6,4,4,4,4,4,5,12,7,4,4,5,9,6,6,6,5,5,5,5,6,9,6,6,6,6,6,6,6,7,6,6,6,6,7,7,7,7,7,7,8,8,7,7,7,7,7,7,7,8,9,10,8,8,8,8,9,9,9,9,8,8,8,8,9,9,17,16,16,9,9,9,9,9,17,17,16,9,9,9,10,10,10,10,10,10,10,10,19,16,10,11,11,11,11,11,11,11,12,19,18,18,13,11,11,11,11,11,13,19,16,16,15,12,12,12,12,12,12,16,13,12,12,12,12,13,13,19,18,18,17,14,14,13,13,13,13,13,13,13,13,20,14,13,13,19,18,17,14,14,14,14,14,14,14,14,21,18,16,16,15,15,14,15,15,20,19,19,18,18,17,17,17,16,15,15,15,15,15,15,15,21,21,20,19,18,17,16,16,17,20,19,19,19,18,18,17,17,19,19,18,18,17,17,17,18,19,19,18,18,18,18,18,18,18,18,19,20,18,18,18,18,18,19,20,19,19,19,19,19,20,20,19,19,20,22,21,24,21,21,21,25,24,23,22,22,25,23,22,22,22
9,14,14,5,9,7,5,3,1,0,17,16,10,7,6,3,2,2,13,10,7,7,5,11,9,7,4,3,2,10,10,5,4,4,4,14,6,5,3,3,4,14,11,5,4,3,4,13,9,7,5,4,4,4,4,4,13,8,5,4,5,10,7,7,6,6,5,5,5,5,10,7,6,6,6,6,6,6,6,7,7,6,6,7,8,7,7,7,7,8,8,8,7,7,7,7,7,7,7,8,11,8,8,8,8,9,10,9,9,9,8,8,8,8,8,18,17,17,9,9,9,9,9,18,18,17,9,9,9,9,10,10,10,10,10,10,10,20,17,11,10,10,11,11,11,11,11,12,20,19,19,13,12,11,11,11,11,13,20,17,16,16,12,12,12,12,12,12,17,14,12,12,12,12,12,12,20,19,19,18,15,14,14,14,13,13,13,13,13,13,21,14,13,13,20,19,18,15,15,14,14,14,14,14,14,21,19,16,16,16,15,14,14,15,21,20,20,19,18,18,18,17,17,16,16,15,15,15,15,15,22,21,21,19,18,18,15,16,16,21,20,20,19,19,19,17,17,19,19,19,18,18,17,17,18,20,19,19,19,18,18,18,18,18,18,19,20,18,18,18,18,18,18,21,19,19,19,19,19,20,20,19,19,20,23,21,24,21,21,21,26,24,24,23,22,25,24,23,22,22
10,2,3,12,8,10,11,13,15,17,0,1,7,9,10,13,14,18,4,7,9,10,12,6,7,9,13,14,17,7,7,12,13,13,20,4,11,12,16,18,20,4,6,13,15,16,18,5,9,11,14,15,16,17,18,18,6,11,15,16,18,9,12,13,13,14,16,17,18,19,9,13,14,15,17,17,18,18,20,14,15,17,17,20,14,15,16,17,18,21,14,15,16,16,17,18,18,19,19,21,12,15,17,18,18,22,13,14,15,16,17,18,19,19,20,8,8,9,16,17,18,18,19,9,9,9,17,18,18,20,21,21,18,19,19,20,20,10,10,18,19,20,20,21,21,22,22,24,10,10,11,14,16,17,20,20,21,25,11,12,12,12,17,20,21,21,22,23,12,16,19,20,21,22,22,22,12,12,12,13,15,16,16,17,18,19,20,20,22,22,13,17,21,22,13,14,14,17,18,18,19,22,22,23,24,14,14,16,17,17,18,21,23,24,14,15,15,15,16,16,16,16,17,18,18,19,21,22,23,23,15,15,15,16,16,16,23,24,26,16,16,16,16,17,18,25,26,18,18,18,20,20,23,25,27,19,19,20,20,22,22,24,25,26,27,28,19,23,25,25,25,26,26,20,24,25,25,26,26,21,22,25,26,27,21,23,21,23,24,24,21,21,22,23,23,22,23,24,25,25
