X,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299
1,0,1,9,6,8,9,12,14,15,3,3,6,8,9,12,13,17,3,6,9,9,11,6,7,9,13,14,16,7,8,13,13,14,21,4,12,13,16,19,21,5,7,15,16,17,20,6,10,13,16,17,18,19,20,20,7,13,18,19,20,12,15,15,16,17,19,20,20,21,12,16,17,18,20,20,21,21,24,18,18,20,21,24,18,18,20,20,21,25,18,19,20,20,21,22,23,23,24,26,15,19,22,23,23,26,18,19,19,21,22,23,24,24,25,11,10,9,20,21,23,24,24,11,10,10,23,23,24,25,26,27,24,25,25,26,26,13,12,24,25,26,26,27,28,28,29,30,14,13,13,18,22,23,26,27,28,32,14,14,15,15,23,27,27,28,29,30,15,21,26,27,27,29,29,30,14,13,14,15,20,21,22,23,24,26,26,27,29,30,15,23,29,30,15,15,17,23,24,24,25,29,30,31,32,16,17,21,22,23,24,28,31,32,16,16,17,18,19,20,20,21,22,24,25,25,29,30,31,31,18,16,16,19,20,21,31,32,35,18,19,19,20,22,23,34,35,23,23,24,26,27,32,34,37,24,25,26,26,29,30,33,34,35,36,38,24,32,34,34,35,35,36,25,32,34,35,35,36,28,29,35,35,37,25,30,23,31,31,32,23,25,26,29,30,25,28,31,32,33
2,1,0,9,6,8,9,11,13,14,4,3,5,8,9,12,13,16,3,6,8,9,10,6,7,9,12,13,16,7,7,12,13,13,20,3,12,13,16,18,20,4,7,14,15,16,19,6,10,13,15,16,18,19,19,20,7,12,17,18,20,11,14,15,15,16,18,19,20,21,11,15,16,17,19,20,20,21,23,17,18,20,20,23,17,18,19,20,21,25,17,19,19,20,20,21,22,23,23,25,15,19,21,22,23,26,17,18,19,20,21,23,23,24,24,12,10,10,20,21,23,23,24,12,11,10,22,23,23,25,26,26,24,24,25,25,26,14,12,24,25,25,26,26,27,27,28,30,14,14,13,18,21,23,26,26,27,31,14,14,14,15,23,26,27,27,29,29,14,20,25,26,27,28,29,29,15,14,13,15,20,20,21,22,24,25,26,26,29,29,16,22,28,29,15,15,16,23,23,24,25,29,29,30,31,17,16,21,21,23,23,27,30,32,16,16,16,18,19,19,20,20,21,24,24,25,28,29,30,31,18,17,16,18,20,20,31,32,35,17,18,19,19,21,22,33,35,22,23,23,25,26,31,34,37,23,25,25,26,29,29,32,34,35,36,38,24,31,33,34,34,35,36,24,32,33,34,35,35,27,28,34,35,36,25,30,23,30,31,31,23,24,25,29,30,24,27,31,32,32
3,9,9,0,4,2,1,2,4,5,13,12,6,3,2,3,4,8,9,7,4,3,2,8,7,4,3,4,7,8,7,3,4,4,12,12,4,4,7,9,12,12,10,6,7,8,10,12,8,5,7,8,9,10,10,11,12,7,8,9,11,9,6,6,7,8,9,10,11,12,10,7,8,8,10,11,12,12,14,8,9,11,12,14,8,9,10,11,12,16,8,10,10,11,12,13,13,14,14,16,10,10,13,13,14,17,9,9,10,12,13,14,14,15,15,20,19,19,11,12,14,14,15,20,20,19,13,14,14,16,17,18,15,15,16,16,17,23,19,15,16,16,17,18,18,19,19,21,23,23,22,14,13,14,17,18,18,23,23,19,19,18,14,18,18,19,20,20,20,14,16,18,18,19,20,20,24,23,22,20,15,15,14,13,15,16,17,18,20,20,25,14,19,20,24,23,21,15,14,15,16,20,20,21,23,26,22,18,17,16,15,19,21,23,25,24,23,22,21,20,20,19,18,16,15,16,19,20,21,22,27,26,25,23,21,20,22,23,26,25,24,23,23,21,21,24,26,22,21,21,19,18,23,25,28,22,20,20,19,20,20,24,25,26,27,29,23,23,24,25,25,26,27,23,23,24,25,26,26,21,20,25,26,28,26,21,29,21,22,23,32,29,27,24,23,30,26,23,23,24
4,6,6,4,0,2,3,5,8,9,8,8,2,2,3,6,7,11,5,2,3,3,5,3,2,3,7,8,10,3,3,7,7,8,15,8,6,7,10,13,15,8,6,9,10,11,14,8,4,7,10,11,12,13,14,14,8,7,12,13,14,5,9,9,10,11,13,14,14,15,6,10,11,12,14,14,15,15,18,12,12,14,15,18,12,12,14,14,15,19,12,13,14,14,15,16,16,17,18,20,9,13,16,16,17,20,12,13,13,15,16,17,18,18,19,16,15,14,14,15,17,18,18,16,15,15,16,17,18,19,20,21,18,19,19,20,20,18,15,18,19,20,20,21,21,22,23,24,19,18,18,12,16,17,20,21,21,26,19,15,14,14,17,21,21,22,23,24,15,15,20,21,21,23,23,24,19,18,18,16,14,15,16,16,18,20,20,21,23,24,20,16,23,24,20,18,16,17,18,18,19,23,24,25,26,21,18,15,16,17,18,22,25,26,21,19,19,18,16,16,15,15,16,18,19,19,23,24,25,25,23,21,20,18,16,16,25,26,29,20,19,19,18,17,16,27,29,18,17,18,20,21,26,28,31,18,19,20,20,23,24,27,28,29,30,32,18,26,27,28,29,29,30,19,26,27,29,29,30,22,23,29,29,31,21,24,25,25,25,26,27,24,23,23,24,25,22,25,26,27
5,8,8,2,2,0,1,3,6,7,10,10,4,1,1,4,5,9,7,4,2,1,3,6,4,2,4,6,8,5,5,4,5,5,13,10,4,5,8,10,13,10,8,7,8,9,12,10,6,5,8,9,10,11,12,12,10,4,9,10,12,7,7,7,8,9,10,12,12,13,8,8,9,9,12,12,13,13,15,9,10,12,13,15,9,10,12,12,13,17,9,11,12,12,13,14,14,15,15,18,8,11,14,14,15,18,9,10,11,13,14,15,15,16,16,18,17,16,12,13,15,15,16,18,18,17,14,15,15,17,18,19,16,16,17,18,18,20,17,16,17,18,18,19,19,20,20,22,21,20,20,12,14,15,18,19,19,24,21,17,16,16,15,19,19,20,21,21,18,13,18,19,19,20,21,21,21,20,20,18,13,13,14,14,16,18,18,19,21,21,23,14,20,21,22,20,19,15,15,16,17,21,21,23,24,24,20,15,15,15,15,20,23,24,23,21,21,20,19,18,18,17,16,16,16,17,20,21,23,23,25,24,23,20,19,18,23,24,27,23,21,21,20,19,19,25,27,20,19,19,18,19,24,26,29,20,18,18,18,21,21,25,26,27,28,30,20,24,25,26,26,27,28,21,24,25,26,27,27,20,20,26,27,29,24,22,27,23,23,24,30,26,25,22,22,27,24,23,24,25
6,9,9,1,3,1,0,2,4,5,12,11,5,2,1,3,4,8,8,6,3,2,2,7,6,3,3,4,7,7,6,3,4,4,12,11,3,4,7,9,12,11,9,6,7,8,10,11,7,4,7,8,9,10,10,11,11,5,8,9,11,8,6,6,7,8,9,10,11,12,9,7,8,8,10,11,12,12,14,8,9,11,12,14,8,9,10,11,12,16,8,10,10,11,12,13,13,14,14,16,9,10,13,13,14,17,8,9,10,12,13,14,14,15,15,19,18,18,11,12,14,14,15,19,19,18,13,14,14,16,17,18,15,15,16,16,17,21,18,15,16,16,17,18,18,19,19,21,22,21,21,13,13,14,17,18,18,23,22,18,18,17,14,18,18,19,20,20,19,13,16,18,18,19,20,20,23,21,21,19,14,14,13,13,15,16,17,18,20,20,24,13,19,20,23,21,20,14,14,15,16,20,20,21,23,25,21,16,16,15,14,19,21,23,24,23,22,21,20,19,19,18,17,15,15,16,19,20,21,22,26,25,24,21,20,19,22,23,26,24,23,22,21,20,20,24,26,21,20,20,18,18,23,25,28,21,19,19,18,20,20,24,25,26,27,29,21,23,24,25,25,26,27,22,23,24,25,26,26,20,19,25,26,28,25,21,28,21,22,23,31,27,26,23,22,29,25,22,23,24
7,12,11,2,5,3,2,0,2,3,14,13,7,4,3,1,2,6,10,8,5,4,3,9,8,6,2,2,5,9,8,3,3,2,9,13,5,4,5,7,9,13,11,3,4,6,8,13,9,6,4,6,7,8,8,9,13,8,6,7,9,10,7,6,5,6,7,8,9,10,11,7,6,6,8,9,9,10,12,6,7,9,9,12,7,7,8,9,10,14,8,8,8,9,9,10,11,12,12,14,12,8,10,11,12,15,10,9,9,9,10,12,12,13,13,21,20,20,9,10,12,12,13,21,21,20,11,12,12,14,15,15,13,13,14,14,15,24,20,13,14,14,15,15,16,16,17,19,24,24,23,15,12,12,15,15,16,20,24,20,20,19,12,15,16,16,18,18,21,15,14,15,16,17,18,18,25,24,23,21,16,16,15,14,13,14,15,15,18,18,26,15,17,18,25,24,22,16,15,15,14,18,18,19,20,27,23,19,18,17,16,16,19,21,26,25,24,23,22,21,21,20,19,17,16,16,17,18,19,20,28,27,26,24,22,21,20,21,24,26,25,24,24,23,22,22,24,23,23,22,20,19,20,23,26,23,21,21,20,18,18,21,23,24,25,27,24,20,22,23,23,24,25,24,21,22,23,24,24,22,21,23,24,25,27,22,30,23,22,21,33,30,29,25,24,31,27,24,23,23
8,14,13,4,8,6,4,2,0,1,16,15,9,7,6,3,2,3,13,10,7,7,5,11,10,8,4,3,3,11,10,6,5,4,7,15,7,6,3,5,7,15,13,6,4,3,6,15,11,8,6,4,4,6,6,7,15,10,5,5,7,12,9,8,8,7,5,6,7,8,13,9,8,7,6,7,7,8,10,8,8,7,7,10,9,9,7,7,8,12,10,9,8,8,7,8,9,9,10,12,14,10,8,9,9,13,13,12,11,9,8,9,10,10,11,24,23,22,11,10,9,10,10,24,23,23,10,9,10,12,13,13,10,11,12,12,13,26,23,10,12,12,13,13,14,14,15,16,26,26,25,18,14,13,13,13,14,18,26,23,22,21,14,13,14,14,15,16,23,17,12,13,14,15,15,16,27,26,25,24,19,18,17,16,15,13,13,13,15,16,28,18,15,16,27,26,24,18,18,17,16,15,16,17,18,29,25,21,20,19,19,14,17,19,29,27,26,25,24,24,23,23,21,19,19,18,15,16,17,18,30,29,28,26,24,24,18,19,21,28,27,26,26,25,24,20,21,25,25,24,22,21,18,20,24,25,24,23,23,20,19,19,20,21,23,25,26,18,20,20,21,21,23,26,19,20,21,21,22,24,24,21,21,23,29,24,32,25,24,24,35,32,31,27,26,33,30,26,25,25
9,15,14,5,9,7,5,3,1,0,17,16,10,8,7,4,3,2,14,11,8,8,6,12,11,9,6,4,2,12,12,7,6,5,6,16,8,7,4,4,6,16,14,7,5,4,5,16,12,9,7,6,4,4,5,6,16,11,6,5,6,13,10,9,9,8,6,5,6,7,14,10,9,8,6,6,6,7,9,9,9,7,6,9,10,10,8,8,7,10,12,10,9,9,8,7,8,8,9,11,15,11,8,8,8,12,14,13,12,10,9,8,9,9,10,25,24,23,12,11,9,9,9,25,24,24,11,10,10,10,12,12,10,10,10,11,12,27,24,12,10,11,12,12,13,13,14,15,27,27,26,19,15,14,12,12,13,17,27,24,23,23,15,12,13,13,14,15,24,18,13,12,13,14,14,15,28,27,26,25,20,19,18,18,16,14,14,13,14,15,29,19,14,15,29,27,25,19,19,18,17,14,15,16,17,30,26,22,21,20,20,15,16,18,30,28,27,26,25,25,24,24,23,20,20,19,16,15,16,16,31,30,29,27,25,25,16,18,20,29,28,27,27,26,25,19,20,26,26,25,23,22,17,19,23,26,25,24,24,21,20,18,19,20,21,24,27,19,19,19,20,20,21,27,20,19,20,20,21,25,25,20,20,22,30,25,34,26,25,25,36,33,32,29,27,34,31,27,26,26
10,3,4,13,8,10,12,14,16,17,0,1,7,9,10,13,14,18,4,7,10,10,12,7,8,10,14,15,18,8,9,14,14,15,22,5,13,14,18,20,22,6,8,16,17,18,21,7,12,14,17,18,19,20,21,21,8,14,19,20,21,13,16,16,17,18,20,21,21,23,13,17,18,19,21,21,22,23,25,19,19,21,22,25,19,19,21,21,23,26,19,20,21,21,22,23,24,24,25,27,16,20,23,24,24,27,19,20,20,22,23,24,25,25,26,9,10,10,21,23,24,25,25,10,10,11,24,24,25,26,27,28,25,26,26,27,27,10,13,25,26,27,27,28,29,29,30,31,10,11,12,19,23,24,27,28,29,33,12,15,16,16,24,28,29,29,30,31,16,22,27,28,29,30,30,31,13,14,15,16,21,22,23,24,25,27,27,28,30,31,13,24,30,31,15,16,18,24,25,25,26,30,31,32,33,14,18,23,23,24,25,29,32,34,16,18,18,19,20,21,21,22,23,25,26,26,30,31,32,32,15,16,18,20,21,22,32,34,36,19,20,20,21,23,24,35,36,24,24,25,27,28,33,35,38,25,26,27,27,30,31,34,35,36,37,40,25,33,35,35,36,36,37,26,34,35,36,36,37,29,30,36,36,38,26,31,24,32,32,33,23,26,27,30,31,26,29,32,34,34
