scenario,rep,seed,groups,pop,area_type,p_MDA_percent,p_covered,Y_TAS,tas_sample,mf_prev_2010_end,ant_prev_2010_end_allages,years_to_elimination,total_infected_people,total_years_with_infection,total_mda_doses,mda_years,tas_surveys,mf_zero_at_end,final_year
1,1,824057,316,53893,AS,0.5,0.6,2,1500,0.593738,3.58319,-1,1230,4244,189121,6,11,0,2040
1,2,824058,316,53753,AS,0.5,0.6,2,1500,0.570829,3.63095,-1,1191,4617,189233,6,11,0,2040
1,3,824059,316,54208,AS,0.5,0.6,2,1500,0.572738,3.51938,-1,1242,4481,188194,6,11,0,2040
1,4,824060,316,53361,AS,0.5,0.6,2,1500,0.561283,3.5413,-1,1148,3928,187576,6,11,0,2040
1,5,824061,316,53227,AS,0.5,0.6,2,1500,0.593738,3.55159,-1,1202,4407,187150,6,11,0,2040
1,6,824062,316,53941,AS,0.5,0.6,2,1500,0.580374,3.46674,-1,1155,4270,157541,5,12,0,2040
1,7,824063,316,53483,AS,0.5,0.6,2,1500,0.645284,3.53262,-1,1395,5095,187745,6,11,0,2040
1,8,824064,316,53419,AS,0.5,0.6,2,1500,0.568919,3.48294,-1,1119,3732,187597,6,11,0,2040
1,9,824065,316,52878,AS,0.5,0.6,2,1500,0.549828,3.5121,-1,1141,4067,186805,6,11,0,2040
1,10,824066,316,53425,AS,0.5,0.6,2,1500,0.628102,3.60712,-1,1288,4329,250922,8,11,0,2040
1,1,924057,316,53586,AS,0.5,0.6,3,1500,0.616648,3.4869,-1,1200,4253,251388,8,7,0,2040
1,2,924058,316,53469,AS,0.5,0.6,3,1500,0.578465,3.5821,-1,1199,4327,250228,8,7,0,2040
1,3,924059,316,53660,AS,0.5,0.6,3,1500,0.58992,3.45124,-1,1381,5692,221075,7,7,0,2040
1,4,924060,316,52497,AS,0.5,0.6,3,1500,0.666285,3.54106,-1,1321,4698,250430,8,3,1,2028
1,5,924061,316,53220,AS,0.5,0.6,3,1500,0.628102,3.48171,-1,1473,5798,251060,8,7,0,2040
1,6,924062,316,52593,AS,0.5,0.6,3,1500,0.622375,3.56099,-1,1311,4758,251744,8,2,1,2026
1,7,924063,316,52874,AS,0.5,0.6,3,1500,0.561283,3.47959,-1,1264,4299,251795,8,4,1,2032
1,8,924064,316,53547,AS,0.5,0.6,3,1500,0.593738,3.55198,-1,1373,5383,250955,8,7,0,2040
1,9,924065,316,53481,AS,0.5,0.6,3,1500,0.660557,3.64231,-1,1504,5636,250772,8,7,0,2040
1,10,924066,316,53077,AS,0.5,0.6,3,1500,0.572738,3.53054,-1,1289,4884,250530,8,7,0,2040
1,1,824157,316,51623,AS,0.5,0.7,2,1500,0.599465,3.58516,-1,1220,4075,180635,5,2,1,2022
1,2,824158,316,53523,AS,0.5,0.7,2,1500,0.612829,3.43249,-1,1379,5446,182774,5,12,0,2040
1,3,824159,316,53277,AS,0.5,0.7,2,1500,0.597556,3.64197,-1,1308,4777,145843,4,11,0,2040
1,4,824160,316,52425,AS,0.5,0.7,2,1500,0.580374,3.51353,-1,1162,3888,182728,5,3,1,2024
1,5,824161,316,52570,AS,0.5,0.7,2,1500,0.580374,3.64085,-1,1132,3800,183186,5,6,1,2029
